,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
943,Nick Bonino,S.J,63,10,9,19,-5,10,28,90,30,28,19,17,40,79,217,233,48.22,2023
944,Mattias Ekholm,NSH,78,9,23,32,26,14,28,135,91,61,91,43,29,103,0,0,0,2023
945,Dante Fabbro,NSH,79,2,9,11,-4,25,50,101,71,33,113,42,19,128,0,0,0,2023
946,Radim Simek,S.J,45,1,2,3,-13,13,29,39,23,17,89,22,21,76,0,1,0,2023
947,Cole Smith,NSH,69,3,13,16,-3,21,60,63,21,33,198,15,29,25,0,5,0,2023
948,Nico Sturm,S.J,74,14,12,26,-13,10,23,117,29,46,100,19,40,45,488,391,55.52,2023
949,Kiefer Sherwood,NSH,33,7,6,13,4,12,30,57,24,22,103,14,17,15,6,4,60,2023
950,Matt Duchene,NSH,71,22,32,54,4,11,32,167,80,72,27,60,35,32,138,122,53.08,2023
951,Ryan McDonagh,NSH,71,2,18,20,12,11,22,78,56,43,63,59,47,162,0,0,0,2023
952,Scott Harrington,S.J,48,4,7,11,-7,5,10,34,26,25,51,10,5,78,0,0,0,2023
953,Nino Niederreiter,NSH,78,24,17,41,-13,10,22,182,66,54,165,22,33,33,8,5,61.54,2023
954,Mikael Granlund,NSH,79,10,32,42,-15,10,20,121,51,51,78,33,38,61,171,213,44.53,2023
955,Filip Forsberg,NSH,50,19,23,42,-3,10,20,157,81,84,86,29,34,20,0,1,0,2023
956,Colton Sissons,NSH,82,12,18,30,-3,10,20,88,43,48,164,27,32,72,591,516,53.39,2023
957,Yakov Trenin,NSH,77,12,12,24,-7,18,47,140,52,64,167,43,44,30,14,22,38.89,2023
958,Steven Lorentz,S.J,80,10,9,19,-17,7,16,112,40,41,133,15,46,46,262,284,47.99,2023
