,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
171,Brad Hunt,COL,47,4,6,10,4,6,12,46,30,21,16,7,9,10,0,0,0,2023
172,Radim Zohorna,CGY,11,1,0,1,-2,0,0,8,2,1,7,0,5,2,21,20,51.22,2023
173,CJ Suess,S.J,1,0,0,0,-1,1,2,0,0,0,1,0,0,0,0,1,0,2023
174,Jonas Rondbjerg,VGK,13,0,2,2,-4,2,4,15,4,7,3,1,9,8,1,2,33.33,2023
175,Callahan Burke,COL,2,0,0,0,-1,0,0,2,0,0,1,0,2,2,2,4,33.33,2023
176,Semyon Der-Arguchintsev,TOR,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2023
177,Zac Dalpe,FLA,14,2,2,4,-4,1,2,17,4,4,15,0,2,6,25,17,59.52,2023
178,Chris Tierney,FLA,37,3,7,10,-9,3,6,19,8,9,15,11,13,21,111,123,47.44,2023
179,Lukas Reichel,CHI,23,7,8,15,-8,3,6,42,16,10,7,14,13,15,5,9,35.71,2023
180,Jonny Brodzinski,NYR,18,0,1,1,3,4,8,26,6,9,9,4,6,4,51,45,53.12,2023
181,Charles Hudon,COL,9,0,0,0,-2,1,2,18,5,3,13,0,3,2,5,4,55.56,2023
182,Hudson Fasching,NYI,49,10,9,19,10,5,10,61,31,17,45,12,16,22,2,8,20,2023
183,Daniil Miromanov,VGK,14,2,4,6,-6,1,2,22,19,6,7,6,1,13,0,0,0,2023
184,Anthony Cirelli,TBL,58,11,17,28,14,11,33,110,34,44,34,15,40,46,424,407,51.02,2023
185,William Bitten,STL,4,0,1,1,1,0,0,0,0,0,10,1,1,0,0,0,0,2023
186,Cole Bardreau,NYI,1,0,0,0,0,1,2,0,1,1,2,0,0,0,0,0,0,2023
187,Tobias Bjornfot,L.A,10,0,1,1,1,3,6,10,5,5,12,0,0,11,0,0,0,2023
188,Samuel Fagemo,L.A,9,2,1,3,-4,0,0,5,3,2,5,3,1,6,0,1,0,2023
189,Tyler Benson,EDM,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2023
190,Jean-Luc Foudy,COL,9,0,0,0,-3,3,6,12,1,2,2,5,3,2,0,3,0,2023
191,Urho Vaakanainen,ANA,23,0,2,2,-16,0,0,27,18,13,18,10,7,28,0,0,0,2023
192,Jeffrey Viel,S.J,5,0,0,0,0,1,2,4,1,1,6,1,2,2,0,0,0,2023
193,James Hamblin,EDM,11,0,0,0,-3,1,2,12,1,3,2,1,2,1,27,15,64.29,2023
194,Lias Andersson,L.A,1,0,0,0,-1,0,0,1,1,1,2,0,0,0,0,0,0,2023
195,Philip Broberg,EDM,48,1,7,8,5,1,2,32,29,11,28,27,12,33,0,0,0,2023
196,Alex BarrÉ-Boulet,TBL,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2023
197,Carson Meyer,CBJ,14,0,1,1,-2,3,6,17,7,8,26,0,3,6,0,0,0,2023
198,Oskar Olausson,COL,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2023
199,Lassi Thomson,OTT,2,0,0,0,-2,2,4,1,0,1,2,0,1,0,0,0,0,2023
200,Simon Holmstrom,NYI,50,6,3,9,-4,0,0,39,18,19,9,13,21,21,0,3,0,2023
201,Mac Hollowell,TOR,6,0,2,2,3,1,2,4,1,1,3,1,3,6,0,0,0,2023
202,Tyler Wotherspoon,N.J,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
203,Jakob Chychrun,ARI,48,9,24,33,6,15,30,143,74,62,56,46,18,83,0,0,0,2023
204,Ville Heinola,WPG,10,0,1,1,-5,1,2,5,7,1,7,8,2,7,0,0,0,2023
205,Trey Fix-Wolansky,CBJ,9,1,0,1,-5,0,0,19,7,8,11,2,2,8,0,0,0,2023
206,Zach Bogosian,TBL,47,1,4,5,-4,13,42,54,44,19,114,25,5,49,1,0,100,2023
207,Nic Petan,MIN,11,1,2,3,0,1,2,10,5,2,4,1,3,5,1,2,33.33,2023
208,Mike Matheson,MTL,48,8,26,34,6,15,35,126,88,41,54,73,42,82,0,0,0,2023
209,Ian Mitchell,CHI,35,1,7,8,-8,4,8,25,17,8,16,14,8,37,0,0,0,2023
210,Patrick Brown,PHI,62,4,8,12,-1,14,44,60,24,38,167,13,9,42,178,161,52.51,2023
211,Jacob Moverare,L.A,4,0,0,0,-1,0,0,6,1,0,3,0,1,4,0,0,0,2023
212,Tyler Tucker,STL,26,1,3,4,-9,7,31,21,27,6,50,9,4,25,0,0,0,2023
213,Anders Bjork,BUF,14,2,6,8,4,1,2,15,8,4,9,10,6,4,0,2,0,2023
214,Nick Cicek,S.J,17,0,4,4,-7,6,15,3,15,3,28,6,2,21,0,0,0,2023
215,Drew Helleson,ANA,4,1,0,1,0,1,2,4,0,1,2,0,0,3,0,0,0,2023
216,Sam Carrick,ANA,53,3,3,6,-16,23,86,50,15,19,98,9,13,24,182,187,49.32,2023
217,Jake Walman,DET,64,9,8,17,10,20,45,140,73,43,47,36,33,121,0,0,0,2023
218,Max Willman,PHI,10,0,0,0,-3,2,4,9,4,4,16,0,1,6,0,3,0,2023
219,Riley Sheahan,BUF,2,0,0,0,-2,2,4,0,0,0,0,1,0,1,7,3,70,2023
220,William Lockwood,VAN,13,0,1,1,-7,0,0,13,2,6,38,3,4,15,0,0,0,2023
221,Teddy Blueger,PIT,63,4,12,16,-8,8,32,84,25,20,72,16,26,47,308,280,52.38,2023
222,Andreas Englund,COL,47,0,4,4,-1,10,35,31,20,21,133,8,9,33,0,0,0,2023
223,Maxime Lajoie,CAR,3,0,0,0,0,0,0,2,4,1,2,1,0,0,0,0,0,2023
224,Jacob Larsson,OTT,7,0,0,0,1,2,6,4,7,1,7,6,1,6,0,0,0,2023
225,Michael Eyssimont,WPG,54,5,10,15,3,22,53,124,38,54,107,15,29,19,12,22,35.29,2023
226,Gustav Olofsson,SEA,3,0,0,0,1,0,0,6,1,1,2,1,1,4,0,0,0,2023
227,Laurent Dauphin,ARI,21,1,0,1,-4,5,10,25,9,7,18,4,10,10,84,73,53.5,2023
228,Jake Middleton,MIN,65,2,9,11,11,13,38,60,48,37,98,17,15,131,0,0,0,2023
229,Austin Strand,ANA,5,0,0,0,-2,1,2,5,3,1,5,0,0,4,0,0,0,2023
230,Juuso Parssinen,NSH,46,6,19,25,0,6,15,49,17,25,76,17,26,18,155,156,49.84,2023
231,Marcus Bjork,CBJ,33,3,7,10,-8,17,42,33,19,13,45,13,2,46,0,0,0,2023
232,Jake Christiansen,CBJ,24,0,4,4,-7,2,4,25,14,16,20,7,7,23,0,0,0,2023
233,Jordie Benn,TOR,12,1,1,2,0,6,12,13,11,6,31,15,0,29,0,0,0,2023
234,Klim Kostin,EDM,59,11,10,21,12,22,66,56,28,20,157,16,12,15,4,6,40,2023
235,Cale Fleury,SEA,14,0,1,1,0,1,2,10,9,10,28,9,3,13,0,0,0,2023
236,Matej Blumel,DAL,6,1,0,1,-2,0,0,8,3,2,7,5,3,2,0,0,0,2023
237,Shane Bowers,COL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2023
238,Sampo Ranta,COL,6,0,0,0,0,2,4,5,4,1,10,2,0,3,0,1,0,2023
239,Nikita Alexandrov,STL,29,3,4,7,0,3,8,28,3,12,28,4,3,13,53,97,35.33,2023
240,Jonatan Berggren,DET,67,15,13,28,-14,8,16,96,26,35,20,26,16,29,3,3,50,2023
241,Emil Bemstrom,CBJ,55,7,15,22,-11,3,6,95,45,41,16,9,16,21,7,10,41.18,2023
242,Brendan Gaunce,CBJ,5,0,1,1,-1,1,2,9,0,3,4,1,1,2,33,23,58.93,2023
243,Mattias Janmark,EDM,66,10,15,25,9,15,30,78,15,24,20,26,27,25,26,33,44.07,2023
244,Charlie McAvoy,BOS,67,7,44,51,29,25,54,105,83,38,85,45,26,131,0,0,0,2023
245,Adam Beckman,MIN,9,0,0,0,-2,0,0,12,6,7,3,0,2,2,0,1,0,2023
246,Filip Hallander,PIT,2,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,2023
247,Alexander Alexeyev,WSH,33,0,5,5,-5,2,4,29,22,25,36,17,4,47,0,0,0,2023
248,Jack Drury,CAR,38,2,6,8,3,7,14,70,20,20,12,6,9,16,67,59,53.17,2023
249,Joseph Cramarossa,MIN,4,1,0,1,0,2,4,1,0,2,8,0,1,1,0,1,0,2023
250,Jacob Bernard-Docker,OTT,19,0,1,1,-1,4,11,22,13,12,23,6,2,27,0,0,0,2023
251,Dennis Gilbert,CGY,23,1,3,4,1,6,27,13,14,9,55,8,3,26,0,0,0,2023
252,Lucas Johansen,WSH,2,0,0,0,0,0,0,3,2,0,0,0,1,3,0,0,0,2023
253,Nick Desimone,CGY,4,0,0,0,-4,1,2,4,1,2,2,1,2,5,0,0,0,2023
254,Aleksi Heponiemi,FLA,10,1,2,3,-1,1,2,6,2,0,2,1,1,1,2,0,100,2023
255,Glenn Gawdin,ANA,3,0,0,0,-1,0,0,3,0,1,4,1,0,3,8,14,36.36,2023
256,Austin Czarnik,DET,29,3,2,5,-4,4,8,27,10,10,16,4,13,13,69,91,43.12,2023
257,Timothy Liljegren,TOR,67,6,12,18,25,14,30,84,44,26,106,37,11,94,0,0,0,2023
258,Sonny Milano,WSH,64,11,22,33,-9,8,18,82,19,43,41,21,21,16,0,0,0,2023
259,Jansen Harkins,WPG,22,3,2,5,4,5,12,18,15,7,16,8,7,11,2,7,22.22,2023
260,Kyle Capobianco,WPG,14,2,0,2,1,3,6,14,11,9,12,7,6,6,0,0,0,2023
261,Jordan Gross,NSH,15,3,0,3,-3,1,2,24,18,14,10,8,2,16,0,0,0,2023
262,Mark Jankowski,NSH,51,7,5,12,-1,8,18,56,24,25,45,12,15,30,189,153,55.26,2023
263,Joel Edmundson,MTL,62,2,12,14,-30,19,60,70,35,23,113,72,12,156,0,0,0,2023
264,Dominic Toninato,WPG,5,0,1,1,0,1,2,7,1,0,6,1,2,2,9,9,50,2023
265,Pontus Holmberg,TOR,37,5,7,12,0,7,18,27,8,14,25,13,7,16,93,126,42.47,2023
266,Ethan Bear,VAN,61,3,13,16,2,11,25,75,48,31,39,28,17,79,0,0,0,2023
267,Adam Ruzicka,CGY,44,6,14,20,-1,4,8,64,30,26,28,10,12,8,83,91,47.7,2023
268,Steven Fogarty,MIN,2,0,0,0,0,0,0,0,0,1,3,0,1,0,2,2,50,2023
269,Drew O'Connor,PIT,48,5,5,10,-3,6,12,62,29,29,63,18,15,14,18,21,46.15,2023
270,Dylan Gambrell,OTT,61,4,6,10,-4,12,25,46,22,19,60,17,14,45,139,167,45.42,2023
271,Matt Irwin,WSH,61,2,3,5,-8,12,36,79,37,23,117,18,9,76,0,0,0,2023
272,Filip Kral,TOR,2,0,0,0,0,1,2,1,0,0,2,1,0,1,0,0,0,2023
273,Rasmus Kupari,L.A,66,3,12,15,-5,6,12,53,19,23,80,12,16,35,222,183,54.81,2023
274,Joel Armia,MTL,44,7,7,14,-7,11,22,69,26,30,37,13,18,25,3,6,33.33,2023
275,Givani Smith,DET,36,1,3,4,-3,19,72,30,17,13,67,6,6,7,0,0,0,2023
276,Jordan Oesterle,DET,52,2,9,11,-9,8,19,54,29,21,41,18,4,67,0,0,0,2023
277,Boris Katchouk,CHI,58,5,11,16,-10,10,27,68,36,35,85,17,24,15,3,12,20,2023
278,Kale Clague,BUF,34,0,4,4,-3,8,24,24,19,8,24,12,7,24,0,0,0,2023
279,Gavin Bayreuther,CBJ,52,2,12,14,-18,10,23,61,44,12,54,9,9,72,0,0,0,2023
280,David Jiricek,CBJ,4,0,0,0,-4,1,2,5,2,0,9,2,1,7,0,0,0,2023
281,Sheldon Dries,VAN,65,11,6,17,-9,10,29,93,32,34,84,18,4,40,235,236,49.89,2023
282,Rasmus Ristolainen,PHI,74,3,16,19,-2,16,32,85,50,36,162,43,24,139,0,0,0,2023
283,Eric Staal,FLA,72,14,15,29,-5,13,26,106,41,36,27,31,33,45,343,400,46.16,2023
284,Matt Luff,DET,19,2,2,4,-4,0,0,20,7,12,22,3,6,9,0,2,0,2023
285,Brad Marchand,BOS,73,21,46,67,27,37,74,183,85,66,80,84,42,22,22,36,37.93,2023
286,Tyler Pitlick,STL,61,7,9,16,-1,7,14,54,16,25,103,6,19,29,2,2,50,2023
287,Julien Gauthier,NYR,58,9,5,14,-6,3,6,53,21,20,105,10,13,13,3,5,37.5,2023
288,Jake Leschyshyn,VGK,37,0,0,0,-10,4,8,31,10,5,55,4,4,11,118,115,50.64,2023
289,Jaret Anderson-Dolan,L.A,47,7,5,12,-11,1,2,54,11,14,61,7,4,29,23,16,58.97,2023
290,Lawrence Pilut,BUF,17,1,2,3,-4,0,0,14,4,4,6,5,3,16,0,0,0,2023
291,Sam Poulin,PIT,3,0,1,1,-3,1,2,2,1,2,3,1,0,1,8,9,47.06,2023
292,Mikhail Maltsev,COL,5,0,0,0,0,0,0,4,1,0,4,0,2,2,14,13,51.85,2023
293,Patrik Nemeth,ARI,75,0,5,5,-7,15,30,62,45,32,116,30,13,118,0,0,0,2023
294,Guillaume Brisebois,VAN,17,1,2,3,-2,3,6,16,3,6,11,6,1,29,0,0,0,2023
295,Logan Brown,STL,31,2,4,6,-4,4,8,18,9,6,22,5,7,7,58,110,34.52,2023
296,Drake Caggiula,PIT,4,0,0,0,-1,0,0,2,0,1,6,0,1,1,0,1,0,2023
297,Beck Malenstyn,WSH,9,1,1,2,0,1,2,7,2,3,34,0,1,5,1,0,100,2023
298,Derick Brassard,OTT,63,12,10,22,3,14,28,91,21,25,90,24,16,10,143,143,50,2023
299,Ross Johnston,NYI,17,0,2,2,-1,10,37,2,2,3,34,1,1,5,1,0,100,2023
300,Liam Foudy,CBJ,62,7,7,14,-26,4,8,67,32,31,59,7,23,17,3,6,33.33,2023
301,Jacob MacDonald,COL,58,1,7,8,-15,9,21,73,34,28,66,33,9,37,0,0,0,2023
302,Jack Rathbone,VAN,11,1,1,2,-1,1,2,12,12,4,7,6,2,7,0,0,0,2023
303,Wayne Simmonds,TOR,19,0,2,2,1,16,49,9,6,5,44,0,3,7,4,0,100,2023
304,Kyle Clifford,TOR,2,0,1,1,1,1,2,2,2,1,6,0,0,0,0,0,0,2023
305,Chad Ruhwedel,PIT,51,1,5,6,-5,10,20,36,39,23,93,10,14,50,0,0,0,2023
306,Sebastian Aho,NYI,71,5,18,23,10,11,22,89,53,42,38,38,14,68,0,0,0,2023
307,Jacob Peterson,DAL,13,2,7,9,-12,2,4,20,10,13,12,3,0,5,1,1,50,2023
308,Michael Pezzetta,MTL,64,7,8,15,-6,25,77,69,27,18,239,17,4,28,8,12,40,2023
309,Joel Hanley,DAL,30,0,2,2,4,6,15,14,8,9,24,7,3,28,0,0,0,2023
310,Corey Schueneman,MTL,8,0,1,1,1,0,0,7,1,4,4,3,2,12,0,0,0,2023
311,Jon Merrill,MIN,73,2,10,12,-2,19,38,43,25,31,47,14,18,107,0,0,0,2023
312,Jake McCabe,CHI,76,3,22,25,21,19,56,96,50,39,163,42,32,154,0,0,0,2023
313,Casey Fitzgerald,BUF,29,0,3,3,-2,2,4,12,18,11,35,1,5,12,0,0,0,2023
314,Connor MacKey,CGY,30,3,4,7,-4,14,48,31,18,14,61,19,5,28,0,0,0,2023
315,Jordan Greenway,MIN,62,6,6,12,-6,13,26,100,48,43,107,13,12,39,2,12,14.29,2023
316,Kevin Bahl,N.J,43,2,6,8,4,12,35,27,32,20,64,12,8,38,0,0,0,2023
317,Joe Snively,WSH,13,2,2,4,3,0,0,16,2,5,4,5,4,6,2,1,66.67,2023
318,Connor McMichael,WSH,6,0,0,0,0,1,5,2,2,0,2,0,1,3,2,1,66.67,2023
319,Victor Mete,TOR,13,0,2,2,3,2,4,7,8,1,3,7,2,9,0,0,0,2023
320,Nicholas Robertson,TOR,15,2,3,5,2,0,0,27,12,9,18,5,7,7,2,1,66.67,2023
321,Matt Grzelcyk,BOS,75,4,22,26,45,14,28,102,52,47,51,33,13,78,0,0,0,2023
322,Calle Rosen,STL,50,8,10,18,18,4,8,62,34,19,16,25,10,51,0,0,0,2023
323,Josh Leivo,STL,51,4,12,16,0,6,15,91,37,35,55,10,30,13,3,4,42.86,2023
324,Axel Jonsson-Fjallby,WPG,50,6,8,14,-1,4,8,54,24,20,43,14,13,18,1,4,20,2023
325,Dylan Samberg,WPG,63,2,6,8,10,11,25,49,49,19,91,39,20,93,0,0,0,2023
326,Anton Blidh,COL,14,0,0,0,-2,2,4,9,2,2,18,0,1,2,1,3,25,2023
327,Jayson Megna,COL,55,2,6,8,-21,3,6,36,11,17,47,6,10,24,146,133,52.33,2023
328,Martin Kaut,COL,36,4,4,8,-4,2,4,44,22,22,23,4,12,5,2,4,33.33,2023
329,Matt Kiersted,FLA,21,1,4,5,4,2,6,14,16,7,13,7,1,7,0,0,0,2023
330,Lucas Carlsson,FLA,2,0,0,0,-1,1,2,2,1,1,3,1,0,1,0,0,0,2023
331,Markus Niemelainen,EDM,24,0,0,0,2,2,4,16,13,6,60,16,0,15,0,0,0,2023
332,Vinnie Hinostroza,BUF,27,2,9,11,-1,4,8,38,20,17,1,7,8,7,1,3,25,2023
333,Alexander Barabanov,S.J,68,15,32,47,-30,10,20,120,48,48,40,35,28,37,1,2,33.33,2023
334,Zack MacEwen,PHI,56,4,6,10,-12,21,66,74,34,31,150,13,13,28,15,14,51.72,2023
335,Nick Perbix,TBL,69,6,14,20,11,11,22,111,59,36,73,28,27,64,0,0,0,2023
336,Ian Cole,TBL,78,3,14,17,12,29,61,109,72,38,117,45,33,122,0,0,0,2023
337,Nick Blankenburg,CBJ,36,4,10,14,-17,8,16,50,33,21,61,13,12,49,0,0,0,2023
338,Ilya Mikheyev,VAN,46,13,14,27,4,1,2,94,26,21,13,10,13,14,3,8,27.27,2023
339,Tyler Myers,VAN,78,1,15,16,-16,30,76,101,76,40,94,50,25,144,0,0,0,2023
340,Jack Studnicka,BOS,49,4,3,7,-11,8,16,65,23,20,61,6,17,18,76,84,47.5,2023
341,Anton Stralman,BOS,8,0,0,0,-3,1,2,3,8,3,12,2,3,10,0,0,0,2023
342,Daniel Sprong,SEA,67,21,26,47,13,7,14,147,69,64,36,22,21,17,2,3,40,2023
343,Dylan Coghlan,CAR,18,0,3,3,-1,1,2,29,23,15,11,5,2,9,0,0,0,2023
344,Mason Shaw,MIN,59,7,10,17,0,19,69,92,39,22,87,18,17,27,15,13,53.57,2023
345,Filip Zadina,DET,30,3,4,7,-5,5,10,51,15,16,22,14,16,15,2,4,33.33,2023
346,Noah Juulsen,VAN,12,0,0,0,1,3,6,5,7,6,43,2,3,16,0,0,0,2023
347,Daniel Renouf,BOS,1,0,0,0,-3,0,0,5,0,0,1,1,0,2,0,0,0,2023
348,Juuso Valimaki,ARI,78,4,29,33,-9,24,59,92,59,42,52,48,16,100,0,0,0,2023
349,Sammy Blais,NYR,71,9,16,25,2,14,30,70,23,33,238,23,16,35,2,5,28.57,2023
350,Colton White,ANA,47,0,6,6,-18,4,8,30,18,9,34,12,7,36,0,0,0,2023
351,Brett Leason,ANA,54,6,3,9,-22,7,14,51,23,27,35,9,9,18,2,4,33.33,2023
352,Jason Dickinson,CHI,78,9,22,31,-29,14,28,114,54,41,112,36,54,80,370,402,47.93,2023
353,Kailer Yamamoto,EDM,58,10,15,25,12,12,24,97,21,20,77,17,45,24,6,7,46.15,2023
354,Warren Foegele,EDM,67,13,15,28,6,14,28,128,44,57,96,27,49,21,7,6,53.85,2023
355,Zach Sanford,NSH,16,2,1,3,-3,2,4,20,10,11,21,9,5,20,2,11,15.38,2023
356,Brayden Schenn,STL,82,21,43,64,-27,18,50,144,72,69,140,47,41,40,476,541,46.8,2023
357,Nathan Walker,STL,57,2,7,9,10,8,25,43,19,16,82,6,8,35,95,82,53.67,2023
358,Robert Bortuzzo,STL,43,2,3,5,9,13,29,30,17,12,64,12,7,49,0,0,0,2023
359,Ryan O'Reilly,STL,53,16,14,30,-20,8,16,102,33,28,18,10,46,22,499,396,55.75,2023
360,Brandon Saad,STL,71,19,18,37,-8,6,12,126,31,40,24,26,34,33,4,4,50,2023
361,Vladimir Tarasenko,STL,69,18,32,50,-15,4,8,169,71,64,75,27,23,35,0,2,0,2023
362,Ivan Barbashev,STL,82,16,29,45,1,17,42,126,43,50,183,41,50,45,55,88,38.46,2023
363,Niko Mikkola,STL,81,1,5,6,4,26,58,62,36,30,151,34,9,106,0,0,0,2023
364,Alexey Toropchenko,STL,69,10,9,19,5,6,12,85,27,17,122,23,18,46,2,6,25,2023
365,Robert Thomas,STL,73,18,47,65,-7,11,22,106,32,38,15,40,66,29,641,576,52.67,2023
366,Jake Neighbours,STL,43,6,4,10,-19,9,24,53,15,19,63,3,13,21,7,12,36.84,2023
367,Jordan Kyrou,STL,79,37,35,72,-37,11,22,272,112,87,14,55,54,34,5,9,35.71,2023
368,Nick Leddy,STL,78,2,20,22,3,10,20,79,46,39,43,34,43,95,0,0,0,2023
369,Colton Parayko,STL,79,4,23,27,-17,15,30,133,73,50,115,49,59,143,0,0,0,2023
370,Torey Krug,STL,63,7,25,32,-25,15,49,128,72,52,40,30,19,87,0,0,0,2023
371,Pavel Buchnevich,STL,63,26,42,68,15,14,36,123,44,58,54,31,35,23,65,150,30.23,2023
372,Noel Acciari,STL,77,14,8,22,-4,9,21,103,24,42,244,13,33,81,337,288,53.92,2023
373,Justin Faulk,STL,82,11,39,50,-5,17,34,194,100,57,112,58,51,142,0,0,0,2023
374,Simon Benoit,ANA,79,3,7,10,-29,21,48,82,53,38,216,35,9,127,0,0,0,2023
375,Cal Clutterbuck,NYI,49,6,6,12,9,11,30,45,14,21,194,15,10,33,1,4,20,2023
376,Oliver Wahlstrom,NYI,35,7,9,16,5,13,32,71,40,27,50,11,12,16,7,13,35,2023
377,Gabriel Fortier,TBL,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2023
378,Nikita Zaitsev,OTT,46,1,7,8,-9,10,20,20,15,15,95,23,7,72,0,0,0,2023
379,Jonathan Drouin,MTL,59,2,27,29,-17,9,18,69,35,21,29,19,31,23,168,211,44.33,2023
380,Pius Suter,DET,79,14,10,24,-3,3,6,105,33,39,39,15,31,37,214,243,46.83,2023
381,Nico Hischier,N.J,81,30,50,80,32,5,10,256,74,85,34,41,64,61,890,765,53.78,2023
382,Fabian Zetterlund,N.J,67,6,17,23,-7,7,14,118,57,48,53,23,21,20,7,10,41.18,2023
383,Dylan Guenther,ARI,33,6,9,15,-8,5,10,54,34,21,18,15,10,11,2,2,50,2023
384,Trent Frederic,BOS,79,17,15,32,28,18,57,121,28,39,105,20,24,34,24,48,33.33,2023
385,Jackson Cates,PHI,5,0,0,0,0,0,0,4,2,2,3,0,1,1,9,10,47.37,2023
386,Olle Lycksell,PHI,9,0,1,1,-2,3,8,5,1,0,1,2,1,7,0,0,0,2023
387,Stefan Noesen,CAR,78,13,23,36,11,13,32,134,27,73,99,31,27,18,54,56,49.09,2023
388,Logan Stanley,WPG,19,1,2,3,-1,9,21,11,16,11,44,10,3,20,0,0,0,2023
389,Mark Scheifele,WPG,81,42,26,68,-16,12,43,206,60,94,50,44,61,38,580,627,48.05,2023
390,Libor Hajek,NYR,18,1,0,1,2,2,4,13,10,2,17,7,2,20,0,0,0,2023
391,Sam Gagner,WPG,48,8,5,13,-4,5,13,78,21,26,16,10,12,13,14,32,30.43,2023
392,Saku Maenalanen,WPG,64,4,6,10,1,8,16,61,20,29,112,16,23,31,3,5,37.5,2023
393,Brenden Dillon,WPG,82,2,21,23,0,27,76,83,78,43,198,47,18,106,0,0,0,2023
394,Josh Morrissey,WPG,78,16,59,75,3,19,41,172,131,92,89,59,36,118,0,0,0,2023
395,Cole Perfetti,WPG,51,8,22,30,11,8,16,91,37,31,35,18,19,23,3,8,27.27,2023
396,Morgan Barron,WPG,70,8,13,21,4,13,31,113,32,37,118,16,19,44,13,16,44.83,2023
397,Neal Pionk,WPG,82,10,23,33,-12,19,44,144,80,72,169,51,29,129,0,0,0,2023
398,Adam Lowry,WPG,82,13,22,35,3,15,48,125,27,56,161,24,27,46,595,585,50.42,2023
399,Kyle Connor,WPG,82,32,48,80,-12,10,20,275,117,106,43,40,44,25,2,6,25,2023
400,Dylan Demelo,WPG,75,5,23,28,11,25,50,92,58,43,120,46,20,102,0,0,0,2023
401,Pierre-Luc Dubois,WPG,73,27,36,63,7,37,77,205,72,102,71,47,40,47,484,502,49.09,2023
402,Mason Appleton,WPG,41,5,11,16,2,4,8,70,16,22,47,11,12,11,2,8,20,2023
403,Nate Schmidt,WPG,71,7,11,18,15,4,8,101,88,56,45,50,21,85,0,0,0,2023
404,Nikolaj Ehlers,WPG,45,12,26,38,-2,4,11,132,89,76,36,23,29,10,1,2,33.33,2023
405,David Gustafsson,WPG,46,0,6,6,2,3,6,45,17,10,25,9,14,18,103,105,49.52,2023
406,Blake Wheeler,WPG,72,16,38,54,-4,23,46,126,56,72,55,27,45,35,64,62,50.79,2023
407,Moritz Seider,DET,82,6,37,43,-13,20,40,141,95,62,207,46,29,190,0,0,0,2023
408,Lucas Raymond,DET,74,17,28,45,-17,11,24,134,72,39,43,27,33,20,5,11,31.25,2023
409,Michael Rasmussen,DET,56,10,20,30,2,20,43,86,29,33,119,8,18,48,204,195,51.13,2023
410,Dominik Kubalik,DET,81,20,25,45,-15,12,24,173,71,70,89,19,12,26,17,18,48.57,2023
411,David Perron,DET,82,23,32,55,-7,26,52,193,83,72,107,32,40,24,2,9,18.18,2023
412,Joe Veleno,DET,81,9,11,20,-13,15,30,85,41,20,152,17,30,44,275,376,42.24,2023
413,Ben Chiarot,DET,76,5,14,19,-30,24,51,110,76,45,147,19,9,163,0,0,0,2023
414,Elmer Soderblom,DET,21,5,3,8,0,4,8,30,10,6,21,3,9,11,1,3,25,2023
415,Tyler Bertuzzi,DET,50,8,22,30,-9,9,29,108,37,38,54,29,19,22,4,13,23.53,2023
416,Adam Erne,DET,61,8,10,18,-13,9,21,56,29,30,160,17,16,55,12,14,46.15,2023
417,Jakub Vrana,DET,25,11,5,16,3,5,10,63,21,23,14,9,9,6,2,5,28.57,2023
418,Oskar Sundqvist,DET,67,10,18,28,-4,14,28,69,28,28,63,20,17,27,27,36,42.86,2023
419,Dylan Larkin,DET,80,32,47,79,-8,17,45,246,115,104,47,47,56,27,736,619,54.32,2023
420,Andrew Copp,DET,82,9,33,42,3,11,25,119,42,42,32,44,26,45,645,654,49.65,2023
421,Gustav Lindstrom,DET,37,1,7,8,-16,10,20,18,19,12,39,17,1,34,0,0,0,2023
422,Robert Hagg,DET,38,2,5,7,-5,13,26,40,19,23,111,14,4,48,0,0,0,2023
423,Olli Maatta,DET,79,6,17,23,-10,7,14,62,46,29,78,38,24,129,0,0,0,2023
424,Filip Hronek,DET,64,9,29,38,5,13,34,124,91,44,102,32,12,58,0,0,0,2023
425,Kent Johnson,CBJ,79,15,24,39,-19,7,14,124,54,40,15,40,26,30,41,98,29.5,2023
426,Brandt Clarke,L.A,10,0,2,2,-1,3,6,11,5,5,3,3,1,14,0,0,0,2023
427,Brendan Lemieux,L.A,46,2,7,9,-3,24,74,44,21,14,131,6,6,15,7,7,50,2023
428,Morgan Geekie,SEA,69,9,19,28,14,9,24,79,16,34,53,14,29,33,296,309,48.93,2023
429,Reese Johnson,CHI,57,4,2,6,-15,12,38,53,17,19,178,7,13,23,120,106,53.1,2023
430,William Carrier,VGK,57,16,9,25,15,15,30,118,28,25,133,8,19,22,1,7,12.5,2023
431,Nicolas Hague,VGK,81,3,14,17,7,17,53,104,92,55,121,26,19,134,0,0,0,2023
