Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Cooper Marody,EDM,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2022
Seth Griffith,EDM,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2022
Taro Hirose,DET,16,1,3,4,-5,2,4,10,5,4,9,4,3,2,1,1,50,2022
Riley Barber,DET,4,0,0,0,-2,1,2,4,1,3,3,3,1,1,0,0,0,2022
C.J. Smith,CAR,1,0,0,0,-1,0,0,0,0,2,1,2,0,0,0,0,0,2022
Blake Speers,ARI,2,0,0,0,-3,1,2,1,1,0,3,1,1,2,6,5,54.55,2022
David Gustafsson,WPG,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2022
Casey Fitzgerald,BUF,36,0,6,6,-20,8,36,41,17,9,86,17,13,35,0,0,0,2022
Guillaume Brisebois,VAN,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,2022
Jayden Halbgewachs,S.J,3,0,1,1,2,2,4,7,1,2,3,1,1,0,0,0,0,2022
Jordan Gross,COL,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,2022
Cole Smith,NSH,8,0,0,0,-3,0,0,3,2,1,21,2,3,1,0,1,0,2022
Kole Sherwood,NSH,2,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,2022
Jesper Froden,BOS,8,1,0,1,4,1,2,10,3,1,8,0,0,5,0,0,0,2022
Jack Drury,CAR,2,2,0,2,3,1,2,6,2,0,4,2,2,2,12,3,80,2022
Stefan Noesen,CAR,2,0,0,0,1,0,0,4,2,5,5,3,0,0,0,0,0,2022
Andrew Poturalski,CAR,2,0,2,2,-1,0,0,4,0,1,0,1,0,1,3,4,42.86,2022
Cole Schwindt,FLA,3,0,0,0,-4,0,0,3,4,3,5,2,1,2,15,16,48.39,2022
Grigori Denisenko,FLA,1,0,0,0,0,1,2,3,0,0,1,0,0,2,0,0,0,2022
Jackson Cates,PHI,11,1,0,1,-2,0,0,8,2,3,4,0,2,3,20,13,60.61,2022
Janis Moser,ARI,24,3,7,10,-3,5,10,21,23,11,15,9,5,21,0,0,0,2022
Brett Connolly,CHI,9,0,1,1,-3,2,15,6,4,3,7,0,2,3,0,0,0,2022
Nicklas Backstrom,WSH,47,6,24,30,-8,6,12,68,23,29,16,13,25,16,301,348,46.38,2022
Noah Juulsen,VAN,9,0,2,2,-3,0,0,6,2,3,20,5,1,11,0,0,0,2022
Brett Seney,TOR,2,0,0,0,0,0,0,1,1,0,3,1,0,2,0,5,0,2022
Ilya Mikheyev,TOR,53,21,11,32,16,8,26,147,26,32,52,26,24,17,0,2,0,2022
Justin Barron,COL,7,1,1,2,-3,0,0,13,3,2,5,3,2,5,0,0,0,2022
Alexei Toropchenko,STL,28,2,0,2,-9,6,15,43,7,16,69,5,5,21,1,2,33.33,2022
TY Dellandrea,DAL,1,0,0,0,-1,0,0,1,0,1,3,0,0,0,1,1,50,2022
Riley Damiani,DAL,7,1,1,2,0,1,2,10,5,3,4,1,3,0,7,8,46.67,2022
Kevin Bahl,N.J,17,1,3,4,-5,5,10,16,8,6,29,3,4,15,0,0,0,2022
Aleksi Heponiemi,FLA,6,0,1,1,-6,1,2,7,0,1,0,3,3,1,2,4,33.33,2022
Alexander True,SEA,8,0,0,0,-2,1,2,6,1,0,22,1,1,2,12,15,44.44,2022
Matthew Peca,STL,5,0,1,1,-1,0,0,3,4,1,3,2,0,1,5,7,41.67,2022
Corey Schueneman,MTL,25,2,4,6,-5,4,8,30,18,17,15,12,6,40,0,0,0,2022
Alex Biega,TOR,3,0,0,0,-2,0,0,2,1,1,5,1,0,1,0,0,0,2022
Kurtis Gabriel,CHI,3,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,2022
Olli Juolevi,FLA,20,0,0,0,-1,3,6,18,9,7,14,7,2,10,0,0,0,2022
Mason Shaw,MIN,4,0,0,0,-2,1,5,7,1,2,6,1,3,1,1,2,33.33,2022
Jaret Anderson-Dolan,L.A,7,0,0,0,-3,2,4,5,6,6,12,2,2,3,9,7,56.25,2022
Nathan Walker,STL,30,8,5,13,1,1,2,38,9,17,58,6,8,22,8,15,34.78,2022
Jesse Ylonen,MTL,14,2,3,5,2,1,2,16,6,5,5,3,2,4,0,0,0,2022
Kristians Rubins,TOR,3,0,0,0,-2,2,4,5,1,0,12,3,0,2,0,0,0,2022
Laurent Dauphin,MTL,39,4,8,12,-10,10,25,50,16,18,31,13,17,27,104,143,42.11,2022
Alex Steeves,TOR,3,0,1,1,-2,0,0,2,1,2,1,0,3,1,0,0,0,2022
Buddy Robinson,ANA,32,1,5,6,2,5,19,38,5,8,56,6,7,12,0,6,0,2022
Adam Ruzicka,CGY,29,5,5,10,8,4,8,33,13,12,24,11,6,8,104,120,46.43,2022
Matt Irwin,WSH,17,1,3,4,0,3,6,29,13,7,36,7,2,21,0,0,0,2022
Austin Czarnik,NYI,17,2,5,7,5,0,0,14,7,8,3,4,6,7,24,35,40.68,2022
Jack Ahcan,BOS,8,1,0,1,-3,0,0,5,6,3,8,4,1,5,0,0,0,2022
Josiah Slavin,CHI,15,0,1,1,0,2,4,13,7,3,12,3,4,4,29,38,43.28,2022
Mark Jankowski,BUF,22,2,3,5,2,2,4,14,7,8,5,10,4,8,85,93,47.75,2022
Markus Niemelainen,EDM,20,0,1,1,-5,2,4,12,11,3,82,10,4,19,0,0,0,2022
Kyle Criscuolo,DET,6,0,2,2,1,1,2,5,3,2,6,0,0,1,4,9,30.77,2022
Jalen Chatfield,CAR,16,0,3,3,0,4,8,25,15,11,32,3,6,10,0,0,0,2022
Maxime Lajoie,CAR,5,0,0,0,2,0,0,6,8,4,3,1,0,5,0,0,0,2022
Gabriel Fortier,TBL,10,1,0,1,-2,2,4,14,5,2,24,3,1,5,1,0,100,2022
Logan Brown,STL,40,4,7,11,-3,4,8,34,7,15,22,13,7,13,67,101,39.88,2022
Will Borgen,SEA,36,2,6,8,0,11,28,49,31,17,89,14,4,33,0,0,0,2022
Wyatt Kalynuk,CHI,5,0,0,0,-3,1,2,1,2,4,9,2,1,0,0,0,0,2022
Connor Bunnaman,PHI,15,0,0,0,-7,2,4,10,2,5,17,2,0,2,57,50,53.27,2022
Sean Durzi,L.A,64,3,24,27,-8,23,55,119,97,31,74,53,26,121,0,0,0,2022
