Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Kyle Clifford,STL,27,1,3,4,-5,8,33,29,8,7,50,5,5,5,3,4,42.86,2022
Olli Maatta,L.A,66,1,7,8,19,4,10,61,52,26,65,37,10,94,0,0,0,2022
Juuso Riikola,PIT,6,0,1,1,2,1,2,7,6,1,13,1,0,2,0,0,0,2022
TY Smith,N.J,66,5,15,20,-25,11,22,77,72,38,46,39,13,73,0,0,0,2022
Troy Stecher,DET,29,1,2,3,-7,5,13,50,19,18,33,19,7,38,0,0,0,2022
Mattias Janmark,VGK,67,9,16,25,2,9,21,89,22,33,19,19,29,28,11,16,40.74,2022
Tyler Benson,EDM,30,1,1,2,-5,5,18,18,10,7,45,6,3,3,0,1,0,2022
Anton Blidh,BOS,33,2,7,9,-3,8,24,28,10,8,82,6,6,17,0,3,0,2022
John Moore,BOS,7,0,1,1,2,2,4,7,5,3,9,2,2,11,0,0,0,2022
John Hayden,BUF,56,2,2,4,-12,21,84,66,20,18,104,10,12,24,2,7,22.22,2022
Dysin Mayo,ARI,67,4,8,12,-25,11,27,76,52,30,129,39,14,133,0,0,0,2022
Dylan Strome,CHI,69,22,26,48,-6,13,28,126,27,30,11,22,47,33,460,420,52.27,2022
Dominic Toninato,WPG,77,7,7,14,1,11,22,44,24,20,92,10,11,32,87,119,42.23,2022
Sonny Milano,ANA,67,14,20,34,-10,5,10,94,36,47,27,34,29,15,0,2,0,2022
Morgan Barron,NYR,29,2,3,5,-4,4,8,33,7,6,49,4,6,8,28,25,52.83,2022
Frederik Gauthier,N.J,8,0,0,0,-1,0,0,4,1,0,16,3,0,3,33,42,44,2022
Eetu Luostarinen,FLA,78,9,17,26,2,6,12,84,42,26,102,26,37,46,319,480,39.92,2022
Tyler Pitlick,CGY,39,1,4,5,-11,3,6,37,22,18,70,8,14,26,4,6,40,2022
Brady Tkachuk,OTT,79,29,39,68,-7,42,107,287,88,85,269,69,41,25,217,218,49.89,2022
Brett Howden,VGK,48,9,11,20,9,6,12,39,9,21,62,14,13,36,140,152,47.95,2022
Nicolas Roy,VGK,78,15,24,39,12,20,51,145,42,51,85,38,34,34,453,476,48.76,2022
William Carrier,VGK,64,9,11,20,8,13,34,120,32,42,159,12,24,24,4,4,50,2022
Zack MacEwen,PHI,75,3,6,9,-18,33,110,82,24,39,159,16,22,32,16,19,45.71,2022
Rasmus Ristolainen,PHI,67,2,14,16,-9,19,38,97,59,43,230,32,12,125,0,0,0,2022
Sam Steel,ANA,68,6,13,19,-17,8,16,66,36,22,37,20,18,27,202,209,49.15,2022
Devin Shore,EDM,49,5,6,11,-4,5,10,36,13,16,67,8,15,21,102,112,47.66,2022
Nathan Beaulieu,WPG,24,0,4,4,-7,8,25,24,14,14,19,17,0,19,0,0,0,2022
Carl Grundstrom,L.A,55,9,6,15,4,13,26,83,25,31,134,9,13,19,6,13,31.58,2022
Thomas Novak,NSH,27,1,6,7,-4,1,2,25,10,12,4,5,14,6,63,79,44.37,2022
Mike Hardman,CHI,21,0,2,2,-5,4,11,12,6,7,60,5,5,12,1,1,50,2022
Kieffer Bellows,NYI,46,6,13,19,-1,8,19,79,39,28,103,26,6,14,0,1,0,2022
Matt Martin,NYI,71,3,4,7,-2,22,70,66,20,20,235,17,11,27,8,11,42.11,2022
Yegor Chinakhov,CBJ,62,7,7,14,-29,8,16,98,46,45,50,19,19,16,0,6,0,2022
Nathan MacKinnon,COL,65,32,56,88,22,18,42,299,116,86,68,56,37,39,381,460,45.3,2022
Mikhail Maltsev,COL,18,0,0,0,-5,1,2,23,8,7,31,1,7,2,44,32,57.89,2022
Martin Kaut,COL,6,0,0,0,2,0,0,1,2,1,6,0,1,3,0,0,0,2022
Connor McMichael,WSH,68,9,9,18,-3,5,10,105,27,31,47,10,15,22,148,197,42.9,2022
Mike Matheson,PIT,74,11,20,31,11,14,33,140,85,70,97,43,43,81,0,0,0,2022
Yanni Gourde,SEA,74,21,27,48,-14,18,45,132,59,58,80,39,55,32,449,456,49.61,2022
Mason Geertsen,N.J,25,0,0,0,-6,14,67,12,3,5,58,3,4,7,0,0,0,2022
Damon Severson,N.J,80,11,35,46,-14,27,57,159,88,66,91,63,38,92,0,0,0,2022
Kevin Connauton,FLA,40,1,2,3,-2,2,4,30,28,9,74,16,6,32,0,0,0,2022
Mason Marchment,FLA,54,18,29,47,30,21,53,122,43,42,113,18,24,9,11,29,27.5,2022
Mike Hoffman,MTL,67,16,19,35,-24,16,32,155,78,53,27,47,32,30,12,8,60,2022
Brock Boeser,VAN,71,23,23,46,-5,10,20,195,106,90,35,21,33,26,26,26,50,2022
Brad Hunt,VAN,50,3,14,17,-2,6,12,68,37,22,22,19,11,48,0,0,0,2022
Luke Schenn,VAN,66,5,12,17,15,20,61,78,62,23,273,42,7,96,0,0,0,2022
Klim Kostin,STL,41,4,5,9,-3,10,23,31,16,13,90,16,9,9,2,2,50,2022
Josh Mahura,ANA,38,3,4,7,-14,6,12,36,30,16,63,17,5,51,0,0,0,2022
Blake Coleman,CGY,81,16,17,33,15,27,60,213,61,55,163,47,34,44,2,17,10.53,2022
Kole Lind,SEA,23,2,6,8,-1,6,12,31,8,8,18,3,7,10,6,11,35.29,2022
Auston Matthews,TOR,73,60,46,106,20,9,18,348,114,136,67,48,92,62,689,537,56.2,2022
Michael Del Zotto,OTT,26,3,10,13,-4,2,4,35,30,16,42,17,5,34,0,0,0,2022
Rasmus Kupari,L.A,57,5,8,13,-3,9,18,51,14,34,68,19,10,17,129,174,42.57,2022
Jonathan Dahlen,S.J,61,12,9,21,-26,6,12,105,42,32,16,23,21,34,0,1,0,2022
Tomas Hertl,S.J,82,30,34,64,-7,14,30,206,83,76,105,31,65,57,769,696,52.49,2022
Mark Scheifele,WPG,68,29,41,70,-16,10,23,159,49,56,35,60,49,47,433,416,51,2022
Matt Nieto,S.J,70,6,11,17,-20,8,19,81,14,24,96,17,21,47,2,11,15.38,2022
Erik Karlsson,S.J,52,10,25,35,-13,7,14,117,78,53,18,63,52,45,0,0,0,2022
Marc-Edouard Vlasic,S.J,75,3,11,14,-22,9,18,64,46,37,56,31,18,93,0,0,0,2022
Radim Simek,S.J,37,1,1,2,-14,4,8,25,15,9,96,15,10,39,0,0,0,2022
Brent Burns,S.J,82,10,47,57,-14,21,42,203,153,90,55,97,68,151,0,1,0,2022
William Eklund,S.J,9,0,4,4,-3,1,2,8,3,3,4,8,2,4,3,5,37.5,2022
Kevin Labanc,S.J,21,3,3,6,-3,3,6,36,15,11,28,6,6,9,0,1,0,2022
Mario Ferraro,S.J,63,2,11,13,-5,8,16,49,31,28,140,35,31,151,0,0,0,2022
Rudolfs Balcers,S.J,61,11,12,23,-2,9,20,98,27,35,116,30,35,43,8,12,40,2022
Timo Meier,S.J,77,35,40,75,-5,27,54,326,125,122,162,53,49,61,18,19,48.65,2022
Logan Couture,S.J,78,23,31,54,-13,9,18,197,55,62,92,31,62,58,618,656,48.51,2022
Jacob Middleton,S.J,67,4,11,15,6,26,82,73,28,23,118,19,27,123,0,0,0,2022
Lane Pederson,S.J,30,0,2,2,-16,5,10,24,7,9,54,6,6,10,42,54,43.75,2022
Andrew Cogliano,S.J,74,4,12,16,-18,10,20,75,24,29,104,23,29,31,9,13,40.91,2022
Nick Bonino,S.J,80,16,10,26,-26,9,18,137,30,44,34,15,50,102,472,452,51.08,2022
Jasper Weatherby,S.J,51,5,6,11,-15,9,18,45,18,19,52,14,18,24,174,168,50.88,2022
Elias Lindholm,CGY,82,42,40,82,61,10,22,235,70,74,66,41,55,52,842,751,52.86,2022
Sean Monahan,CGY,65,8,15,23,-15,12,24,111,46,40,58,28,32,24,412,365,53.02,2022
Milan Lucic,CGY,82,11,10,21,-9,22,84,96,32,44,209,41,20,22,19,15,55.88,2022
Erik Gudbranson,CGY,78,6,11,17,16,24,68,129,87,52,145,41,20,92,0,0,0,2022
Trevor Lewis,CGY,80,6,10,16,0,6,12,107,27,45,177,9,11,40,77,103,42.78,2022
Christopher Tanev,CGY,82,6,22,28,36,11,22,88,51,41,52,57,29,158,0,0,0,2022
Glenn Gawdin,CGY,2,0,0,0,0,1,2,3,1,0,1,1,0,1,3,8,27.27,2022
Matthew Tkachuk,CGY,82,42,62,104,58,32,66,253,81,121,93,91,41,20,20,23,46.51,2022
Johnny Gaudreau,CGY,82,40,74,114,64,9,26,262,115,86,10,81,50,9,1,0,100,2022
Zack Kassian,EDM,58,6,13,19,2,19,63,58,19,26,153,22,13,6,3,4,42.86,2022
Juuso Valimaki,CGY,10,0,2,2,0,5,10,11,8,2,8,3,3,9,0,0,0,2022
Brett Ritchie,CGY,42,3,1,4,-5,12,29,55,16,20,78,11,3,5,1,3,25,2022
Nikita Zadorov,CGY,74,4,18,22,11,32,77,106,59,60,181,61,32,49,0,1,0,2022
Andrew Mangiapane,CGY,82,34,21,55,18,15,38,184,65,50,74,42,52,32,21,34,38.18,2022
Noah Hanifin,CGY,81,10,36,46,26,8,19,189,116,92,63,62,38,84,0,0,0,2022
Oliver Kylington,CGY,73,9,22,31,33,7,14,138,83,56,40,56,24,79,0,0,0,2022
Rasmus Andersson,CGY,82,4,46,50,29,14,28,152,75,62,63,44,23,124,0,0,0,2022
Mikael Backlund,CGY,82,12,27,39,15,15,30,214,67,74,62,44,55,27,621,608,50.53,2022
Dillon Dube,CGY,80,18,14,32,1,10,20,143,41,45,87,23,24,15,92,103,47.18,2022
Slater Koekkoek,EDM,20,0,4,4,3,8,16,11,7,8,21,1,1,18,0,0,0,2022
Brayden Schenn,STL,62,24,34,58,22,12,33,110,45,41,119,28,42,17,286,293,49.4,2022
Kurtis MacDermid,COL,59,2,3,5,1,22,89,46,26,17,105,12,5,22,0,0,0,2022
Tyler Bozak,STL,50,3,9,12,-11,7,14,46,17,10,20,13,20,21,177,211,45.62,2022
Robert Bortuzzo,STL,73,1,4,5,-4,15,36,46,19,21,135,20,8,97,0,0,0,2022
David Perron,STL,67,27,30,57,9,18,36,177,87,54,80,18,37,11,1,3,25,2022
Ryan O'Reilly,STL,78,21,38,59,12,6,12,167,37,47,20,26,50,38,899,685,56.76,2022
Dylan Sikura,COL,5,0,1,1,0,0,0,3,0,1,0,0,2,3,0,0,0,2022
Brandon Saad,STL,78,24,25,49,12,5,10,158,38,40,20,25,45,20,8,11,42.11,2022
Vladimir Tarasenko,STL,75,34,47,81,7,12,32,231,77,75,83,31,17,45,4,7,36.36,2022
Ivan Barbashev,STL,81,26,33,59,4,19,40,111,38,39,160,46,44,28,132,196,40.24,2022
James Neal,STL,19,2,2,4,-1,0,0,31,8,6,17,4,2,3,0,2,0,2022
Marco Scandella,STL,70,3,10,13,17,9,18,76,37,29,106,38,18,70,0,0,0,2022
Robert Thomas,STL,72,20,57,77,17,8,16,115,25,51,12,50,60,25,563,564,49.96,2022
Jake Neighbours,STL,9,1,1,2,-2,1,2,8,1,2,10,1,0,1,1,2,33.33,2022
Jordan Kyrou,STL,74,27,47,74,10,10,20,189,81,54,6,32,36,23,6,9,40,2022
Stefan Matteau,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Colton Parayko,STL,80,6,29,35,16,9,18,134,61,48,72,53,51,169,0,0,0,2022
Jake Walman,STL,53,3,7,10,-3,5,10,86,52,35,47,22,9,57,0,0,0,2022
Torey Krug,STL,64,9,33,42,24,25,50,118,72,54,53,32,16,70,0,0,0,2022
Pavel Buchnevich,STL,73,30,45,75,29,13,34,199,51,53,57,41,46,15,13,26,33.33,2022
Justin Faulk,STL,76,16,31,47,41,16,43,167,99,52,149,40,37,101,0,0,0,2022
Scott Harrington,CBJ,7,0,1,1,-3,3,6,5,2,2,8,0,2,9,0,0,0,2022
Boris Katchouk,TBL,60,3,4,7,-7,10,39,58,20,22,138,7,16,20,7,11,38.89,2022
Zach Aston-Reese,PIT,69,5,10,15,8,11,28,78,28,24,231,10,19,42,4,4,50,2022
Carter Rowney,DET,26,4,2,6,-4,0,0,15,6,6,36,5,4,20,75,91,45.18,2022
Libor Hajek,NYR,24,0,1,1,-10,4,8,12,7,3,7,4,2,26,0,0,0,2022
Alex Belzile,MTL,12,0,0,0,0,2,4,13,5,1,17,5,3,5,7,11,38.89,2022
Sami Niku,MTL,15,0,6,6,3,1,2,14,10,3,6,5,2,17,0,0,0,2022
Adam Brooks,MTL,28,2,1,3,2,1,2,14,3,4,11,3,3,6,23,34,40.35,2022
Greg McKegg,NYR,46,2,3,5,-10,3,6,25,7,6,50,15,14,22,72,88,45,2022
Taylor Hall,BOS,81,20,41,61,11,21,42,217,61,44,55,48,33,36,18,21,46.15,2022
Brandon Carlo,BOS,79,6,9,15,2,14,31,125,52,36,140,25,32,102,0,0,0,2022
Mike Reilly,BOS,71,4,12,16,-2,16,32,135,52,43,94,35,19,54,0,0,0,2022
Charlie Coyle,BOS,82,16,28,44,-4,12,32,131,29,54,84,42,39,39,541,559,49.18,2022
Craig Smith,BOS,74,16,20,36,3,14,28,188,71,62,95,30,20,29,4,8,33.33,2022
Nick Foligno,BOS,64,2,11,13,-14,23,61,99,21,29,163,14,22,31,22,17,56.41,2022
Patrice Bergeron,BOS,74,26,39,65,25,16,32,293,58,77,78,21,37,45,993,606,62.1,2022
Trent Frederic,BOS,60,8,10,18,9,21,57,100,31,26,118,12,23,22,35,54,39.33,2022
Connor Clifton,BOS,60,2,8,10,-2,13,32,80,41,27,156,14,16,62,0,0,0,2022
Jake Debrusk,BOS,77,24,17,41,7,5,10,183,53,40,62,26,35,25,11,12,47.83,2022
Matt Grzelcyk,BOS,73,4,21,25,24,12,24,118,58,36,40,41,21,83,0,0,0,2022
Karson Kuhlman,BOS,44,3,7,10,-3,3,6,68,24,24,71,10,12,19,0,2,0,2022
Charlie McAvoy,BOS,78,10,46,56,30,30,66,166,68,61,155,65,29,129,0,0,0,2022
Derek Forbort,BOS,76,4,10,14,2,18,48,64,42,26,135,32,15,99,0,0,0,2022
Erik Haula,BOS,78,18,26,44,18,21,47,141,33,43,129,21,25,36,432,373,53.66,2022
David Pastrnak,BOS,72,40,37,77,13,10,20,312,122,126,63,77,35,14,7,14,33.33,2022
Tomas Nosek,BOS,75,3,14,17,-9,16,32,84,28,44,85,22,27,34,365,308,54.23,2022
Joel Hanley,DAL,45,2,4,6,-13,2,4,18,24,14,61,14,5,43,0,0,0,2022
Brad Marchand,BOS,70,32,47,79,16,35,92,242,90,64,78,62,40,20,14,27,34.15,2022
Leo Komarov,NYI,1,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,100,2022
Liam O'Brien,ARI,40,2,1,3,0,26,106,36,16,15,139,8,6,10,5,5,50,2022
Arttu Ruotsalainen,BUF,19,2,2,4,-1,3,6,23,9,5,14,0,5,6,51,68,42.86,2022
Will Butcher,BUF,38,2,6,8,-9,0,0,35,18,25,11,10,1,32,0,0,0,2022
Travis Boyd,ARI,74,17,18,35,-11,17,34,88,24,43,71,28,20,55,422,506,45.47,2022
Jonas Brodin,MIN,73,5,25,30,9,9,18,126,75,31,42,28,24,126,0,0,0,2022
Mats Zuccarello,MIN,70,24,55,79,21,12,24,158,65,44,36,43,48,33,21,34,38.18,2022
Alex Goligoski,MIN,72,3,27,30,40,17,34,81,65,28,56,31,6,96,0,0,0,2022
Ryan Hartman,MIN,82,34,34,68,32,39,95,240,80,101,73,30,36,48,521,642,44.8,2022
Kirill Kaprizov,MIN,81,47,62,109,28,16,34,289,115,111,73,72,57,29,5,4,55.56,2022
Dmitry Kulikov,MIN,80,7,15,22,25,18,39,74,56,38,99,31,16,103,0,0,0,2022
Jon Merrill,MIN,69,4,16,20,15,11,22,59,35,24,46,21,7,112,0,0,0,2022
Matt Dumba,MIN,57,7,20,27,8,22,47,116,96,39,114,26,15,84,0,0,0,2022
Victor Rask,MIN,50,9,11,20,3,1,2,58,16,21,15,14,14,5,88,87,50.29,2022
Kevin Fiala,MIN,82,33,51,84,21,21,52,262,94,96,52,54,38,21,4,11,26.67,2022
Jared Spurgeon,MIN,66,11,30,41,30,5,10,117,77,41,44,14,13,83,0,0,0,2022
Nico Sturm,MIN,76,8,11,19,-6,7,14,100,21,28,99,16,10,29,311,277,52.89,2022
Joel Eriksson Ek,MIN,77,25,24,49,17,14,28,222,54,53,137,12,30,44,697,767,47.61,2022
Marcus Foligno,MIN,74,23,20,43,24,32,112,97,29,35,238,27,28,42,13,8,61.9,2022
Brandon Duhaime,MIN,80,6,11,17,-4,35,122,91,41,29,201,13,16,18,8,20,28.57,2022
Jordan Greenway,MIN,62,10,17,27,27,29,69,110,21,35,155,16,14,31,18,31,36.73,2022
Max Jones,ANA,2,0,0,0,-1,2,15,2,1,1,2,2,0,0,1,1,50,2022
Nick Bjugstad,MIN,59,7,5,12,-3,10,20,81,23,25,99,13,18,14,141,115,55.08,2022
Frederick Gaudreau,MIN,76,14,30,44,12,4,8,133,48,47,48,25,39,43,465,466,49.95,2022
Joel Farabee,PHI,63,17,17,34,-10,18,50,119,54,35,73,22,25,38,41,102,28.67,2022
Ryan Ellis,PHI,4,1,4,5,2,0,0,6,5,2,1,5,2,6,0,0,0,2022
Sean Couturier,PHI,29,6,11,17,-6,7,14,79,28,29,22,17,25,18,238,189,55.74,2022
Oskar Lindblom,PHI,80,12,14,26,-12,11,22,127,46,39,83,18,19,48,8,14,36.36,2022
Ivan Provorov,PHI,79,9,22,31,-21,17,34,170,101,51,74,84,17,172,0,0,0,2022
Nate Thompson,PHI,33,1,2,3,-16,6,31,23,6,12,48,7,8,20,158,129,55.05,2022
Travis Konecny,PHI,79,16,36,52,-23,24,77,220,85,77,80,28,22,34,13,18,41.94,2022
Cam Atkinson,PHI,74,23,27,50,-1,5,10,215,59,58,20,28,38,45,5,12,29.41,2022
James Van Riemsdyk,PHI,82,23,15,38,-33,11,25,185,39,59,34,29,30,25,10,14,41.67,2022
Travis Sanheim,PHI,80,7,22,29,8,17,34,123,75,51,64,56,23,142,0,0,0,2022
Derick Brassard,PHI,46,8,11,19,4,8,16,62,21,8,82,10,10,6,169,161,51.21,2022
Max Willman,PHI,41,4,2,6,-12,8,16,65,20,15,53,8,14,10,2,5,28.57,2022
Nick Seeler,PHI,46,1,2,3,-3,10,29,32,19,16,75,17,4,67,0,0,0,2022
Scott Laughton,PHI,67,11,19,30,-9,16,35,110,48,38,151,40,31,47,395,381,50.9,2022
Justin Braun,PHI,69,6,12,18,1,18,36,73,55,32,87,32,16,121,0,0,0,2022
Nicolas Aube-Kubel,PHI,74,11,12,23,10,22,47,88,32,32,140,20,17,18,3,9,25,2022
Claude Giroux,PHI,75,21,43,64,-6,13,26,205,70,64,68,41,28,16,733,483,60.28,2022
Keith Yandle,PHI,77,1,18,19,-46,7,14,105,85,43,29,39,11,40,0,0,0,2022
Tomas Tatar,N.J,76,15,14,29,-21,11,22,132,53,59,75,25,27,28,19,31,38,2022
Yegor Sharangovich,N.J,76,24,21,45,-14,6,23,167,56,70,30,44,48,26,89,131,40.45,2022
Dougie Hamilton,N.J,62,9,21,30,-17,17,34,197,117,88,87,54,20,92,0,0,0,2022
Janne Kuokkanen,N.J,57,6,11,17,-10,5,10,64,20,25,33,11,25,22,2,14,12.5,2022
Ryan Graves,N.J,75,6,22,28,-10,12,24,111,79,51,90,51,27,135,1,0,100,2022
Michael McLeod,N.J,77,6,14,20,-13,20,52,78,20,28,145,28,46,34,604,451,57.25,2022
Pavel Zacha,N.J,70,15,21,36,-21,11,22,148,53,63,80,40,33,18,189,188,50.13,2022
Colton White,N.J,27,0,5,5,1,4,8,18,15,12,24,10,1,14,0,0,0,2022
Jesper Bratt,N.J,76,26,47,73,0,8,16,197,61,66,26,46,29,30,0,3,0,2022
Erik Gustafsson,CHI,60,2,17,19,-5,7,14,78,60,34,45,39,10,55,0,0,0,2022
Jimmy Vesey,N.J,68,8,8,16,-23,6,12,110,30,45,84,33,57,29,19,43,30.65,2022
MariÁn Studenic,N.J,34,2,2,4,-7,3,6,42,15,15,25,10,13,15,1,3,25,2022
Nico Hischier,N.J,70,21,38,59,-1,7,17,153,57,60,50,31,45,48,728,672,52,2022
P.K. Subban,N.J,77,5,17,22,-8,26,82,113,92,58,70,51,23,90,0,0,0,2022
Jonas Siegenthaler,N.J,70,1,13,14,-6,18,42,92,69,29,98,52,17,106,0,0,0,2022
Andreas Johnsson,N.J,71,13,22,35,5,15,30,114,34,31,64,24,26,22,4,10,28.57,2022
Jack Hughes,N.J,49,26,30,56,-16,0,0,165,72,58,6,60,49,15,121,232,34.28,2022
Adam Gaudette,CHI,59,5,9,14,-9,7,17,94,36,32,72,17,21,10,56,71,44.09,2022
Christian Jaros,N.J,11,0,0,0,-4,1,2,9,7,5,21,5,1,10,0,0,0,2022
Dawson Mercer,N.J,82,17,25,42,-25,13,28,154,54,39,26,53,56,35,208,381,35.31,2022
Sean Walker,L.A,6,0,2,2,-1,2,4,18,10,4,9,1,1,9,0,0,0,2022
Tobias Bjornfot,L.A,70,0,8,8,-11,3,6,53,35,22,61,30,10,57,0,0,0,2022
Alex Iafallo,L.A,79,17,20,37,6,4,8,215,52,78,48,14,46,53,15,17,46.88,2022
Gabriel Vilardi,L.A,25,5,2,7,-5,3,8,41,8,11,6,5,6,9,60,71,45.8,2022
Viktor Arvidsson,L.A,66,20,28,48,3,11,22,227,88,97,23,16,24,45,12,21,36.36,2022
Jake Leschyshyn,VGK,41,3,5,8,-1,4,8,37,14,12,45,5,13,23,125,147,45.96,2022
Trevor Moore,L.A,81,17,33,50,23,10,20,202,56,83,69,17,30,32,28,39,41.79,2022
Drew Doughty,L.A,39,7,25,32,4,15,30,99,56,28,60,24,9,53,0,0,0,2022
Mikey Anderson,L.A,57,2,6,8,5,4,8,58,48,27,133,26,10,68,0,0,0,2022
Alexander Edler,L.A,41,3,15,18,18,17,34,54,39,26,56,16,9,70,0,0,0,2022
Phillip Danault,L.A,79,27,24,51,16,16,38,194,39,66,74,29,22,49,675,586,53.53,2022
Matt Roy,L.A,67,2,19,21,24,13,28,153,72,51,124,49,8,103,0,0,0,2022
Anze Kopitar,L.A,81,19,46,65,-4,7,14,211,73,70,71,30,48,71,857,651,56.83,2022
Vladimir Tkachev,L.A,4,0,2,2,-2,1,2,1,2,1,1,2,0,0,1,1,50,2022
Brendan Lemieux,L.A,50,8,5,13,-1,27,87,65,30,37,122,17,11,17,11,13,45.83,2022
Adrian Kempe,L.A,78,35,19,54,-2,22,46,247,112,84,111,43,34,28,24,26,48,2022
Jonas Rondbjerg,VGK,30,2,4,6,0,2,4,30,9,11,13,5,8,11,0,2,0,2022
Arthur Kaliyev,L.A,80,14,13,27,-2,13,37,194,51,65,31,20,20,12,0,0,0,2022
Dustin Brown,L.A,64,9,19,28,-1,10,20,145,42,50,88,19,13,20,2,8,20,2022
Blake Lizotte,L.A,70,10,14,24,14,14,28,91,19,31,74,10,31,12,313,294,51.57,2022
Dante Fabbro,NSH,67,3,21,24,13,12,24,88,58,43,69,35,22,106,0,0,0,2022
Cody Glass,NSH,8,0,1,1,0,0,0,9,3,3,13,2,1,4,20,37,35.09,2022
Luke Kunin,NSH,82,13,9,22,-11,31,99,125,33,51,222,17,20,50,48,61,44.04,2022
Ryan Johansen,NSH,79,26,36,62,0,25,53,118,29,35,72,45,39,35,692,623,52.62,2022
Ben Harpur,NSH,27,0,1,1,-10,9,27,13,9,11,36,12,0,21,0,0,0,2022
Mark Borowiecki,NSH,61,0,4,4,-9,37,151,45,24,22,196,14,7,79,0,0,0,2022
Philip Tomasino,NSH,76,11,21,32,2,5,10,111,28,50,49,23,17,28,20,33,37.74,2022
Nick Cousins,NSH,68,9,13,22,-8,11,31,103,28,40,66,23,16,28,23,26,46.94,2022
Tanner Jeannot,NSH,81,24,17,41,2,40,130,124,35,56,318,32,32,64,10,14,41.67,2022
Philippe Myers,NSH,33,1,3,4,5,6,12,28,23,21,50,17,8,17,0,0,0,2022
Matt Duchene,NSH,80,43,43,86,7,16,38,228,65,89,31,76,31,28,118,101,53.88,2022
Eeli Tolvanen,NSH,75,11,12,23,-7,8,16,151,57,58,176,21,15,45,0,1,0,2022
Carson Soucy,SEA,64,10,11,21,5,21,47,97,51,21,118,29,23,72,0,0,0,2022
Alexandre Carrier,NSH,78,3,27,30,27,26,52,95,53,40,94,39,27,124,0,1,0,2022
Matt Benning,NSH,67,0,11,11,-23,18,39,60,35,18,82,33,8,66,0,0,0,2022
Roman Josi,NSH,80,23,73,96,13,23,46,281,178,104,66,71,48,132,0,0,0,2022
Mikael Granlund,NSH,80,11,53,64,-8,15,33,117,54,48,92,51,57,45,569,637,47.18,2022
Filip Forsberg,NSH,69,42,42,84,13,10,20,226,91,107,112,56,53,48,1,0,100,2022
Alex BarrÉ-Boulet,SEA,16,3,3,6,0,2,4,16,7,5,10,3,4,3,5,9,35.71,2022
Colton Sissons,NSH,79,7,20,27,1,15,30,87,29,47,188,25,19,44,719,571,55.74,2022
Rocco Grimaldi,NSH,8,0,0,0,0,1,2,8,3,2,5,3,5,0,6,3,66.67,2022
Mattias Ekholm,NSH,77,6,25,31,14,22,44,145,98,68,79,60,29,96,0,0,0,2022
Yakov Trenin,NSH,80,17,7,24,6,17,46,136,52,55,192,24,37,33,12,23,34.29,2022
Moritz Seider,DET,82,7,43,50,-8,17,34,188,110,59,151,48,41,160,0,0,0,2022
Vladislav Namestnikov,DET,75,16,14,30,2,18,45,91,30,32,62,22,21,39,27,31,46.55,2022
Lucas Raymond,DET,82,23,34,57,-30,8,16,185,62,39,62,36,26,24,12,19,38.71,2022
Michael Rasmussen,DET,80,15,12,27,-24,28,66,128,23,44,142,16,29,65,407,410,49.82,2022
Sam Gagner,DET,81,13,16,29,-4,16,32,132,27,26,21,14,24,25,143,162,46.89,2022
Danny Dekeyser,DET,59,0,11,11,-8,13,26,56,46,16,49,21,7,102,0,0,0,2022
Tyler Bertuzzi,DET,68,30,31,61,-9,18,47,180,60,66,65,57,42,41,6,17,26.09,2022
Givani Smith,DET,47,4,3,7,-6,27,108,50,19,14,86,8,7,20,1,1,50,2022
Robby Fabbri,DET,56,17,11,28,-23,16,35,123,41,47,86,21,13,18,54,55,49.54,2022
Adam Erne,DET,79,6,13,19,-23,14,34,107,37,31,161,20,24,43,34,31,52.31,2022
Pius Suter,DET,82,15,20,35,-12,11,22,165,50,50,24,36,46,37,496,506,49.5,2022
Andrej Sustr,TBL,39,1,5,6,-4,8,16,28,23,11,27,15,10,36,0,0,0,2022
Dylan Larkin,DET,71,31,37,68,-14,18,47,211,104,69,76,42,38,28,628,575,52.2,2022
Marc Staal,DET,71,3,13,16,-1,14,28,76,37,28,94,29,13,75,0,0,0,2022
Gustav Lindstrom,DET,64,1,12,13,-13,11,22,41,29,10,59,23,9,77,0,0,0,2022
Nick Leddy,DET,75,3,20,23,-27,11,22,71,34,33,37,34,30,67,0,0,0,2022
Mitchell Stephens,DET,27,0,6,6,-8,4,8,17,12,9,21,7,5,9,124,129,49.01,2022
Filip Hronek,DET,78,5,33,38,-26,14,36,133,88,58,70,46,16,80,0,0,0,2022
Filip Zadina,DET,74,10,14,24,-25,5,10,153,77,53,57,30,24,34,5,5,50,2022
Ilya Lyubushkin,ARI,77,2,12,14,-2,24,51,54,29,21,187,37,15,92,0,0,0,2022
Adam Boqvist,CBJ,52,11,11,22,-8,6,12,64,39,27,27,28,11,47,0,1,0,2022
Zach Werenski,CBJ,68,11,37,48,-16,11,22,216,115,97,33,39,39,95,0,0,0,2022
Vladislav Gavrikov,CBJ,80,5,26,31,-1,32,68,108,59,37,124,34,22,138,0,0,0,2022
Jakub Voracek,CBJ,79,6,56,62,-12,14,44,147,63,43,27,50,44,28,5,28,15.15,2022
