Player,Tm,Salary,Cap Hit,Year
William Karlsson,VEG,"5,600,000","5,900,000",2024
Adam Larsson,SEA,"5,500,000","4,000,000",2024
J.T. Compher,DET,"5,500,000","5,100,000",2024
Jaccob Slavin,CAR,"5,500,000","5,300,000",2024
Brandon Saad,STL,"5,500,000","4,500,000",2024
Filip Hronek,VAN,"5,500,000","4,400,000",2024
Drake Batherson,OTT,"5,400,000","4,975,000",2024
Brady Skjei,CAR,"5,400,000","5,250,000",2024
Oliver Bjorkstrand,SEA,"5,350,000","5,400,000",2024
Mikael Backlund,CGY,"5,350,000","5,350,000",2024
Jason Zucker,ARI,"5,300,000","5,300,000",2024
Tristan Jarry,PIT,"5,300,000","5,375,000",2024
Cam Atkinson,PHI,"5,275,000","5,875,000",2024
John Marino,NJD,"5,250,000","4,400,000",2024
Jakob Silfverberg,ANA,"5,250,000","5,250,000",2024
Ben Chiarot,DET,"5,250,000","4,750,000",2024
Reilly Smith,PIT,"5,250,000","5,000,000",2024
Shea Theodore,VEG,"5,200,000","5,200,000",2024
David Perron,DET,"5,150,000","4,750,000",2024
Tage Thompson,BUF,"5,142,858","7,142,857",2024
Travis Sanheim,PHI,"5,125,000","6,250,000",2024
Yanni Gourde,SEA,"5,100,000","5,166,666",2024
Barclay Goodrow,NYR,"5,100,000","3,641,667",2024
Dylan Cozens,BUF,"5,100,000","7,100,000",2024
Tom Wilson,WSH,"5,100,000","5,166,667",2024
Tim Stützle,OTT,"5,000,000","8,350,000",2024
Vladimir Tarasenko,OTT,"5,000,000","5,000,000",2024
Jesper Bratt,NJD,"5,000,000","7,875,000",2024
Esa Lindell,DAL,"5,000,000","5,800,000",2024
Ryan O'Reilly,NSH,"5,000,000","4,500,000",2024
Roman Josi,NSH,"5,000,000","9,059,000",2024
Ryan Strome,ANA,"5,000,000","5,000,000",2024
Alexander Wennberg,SEA,"5,000,000","4,500,000",2024
Igor Shesterkin,NYR,"5,000,000","5,666,667",2024
Kyle Palmieri,NYI,"5,000,000","5,000,000",2024
Jack Campbell,EDM,"5,000,000","5,000,000",2024
Nikita Kucherov,TBL,"5,000,000","9,500,000",2024
Brayden Point,TBL,"5,000,000","9,500,000",2024
Victor Hedman,TBL,"5,000,000","7,875,000",2024
Morgan Rielly,TOR,"5,000,000","7,500,000",2024
Artturi Lehkonen,COL,"5,000,000","4,500,000",2024
Samuel Girard,COL,"5,000,000","5,000,000",2024
Josh Manson,COL,"5,000,000","4,500,000",2024
Mike Hoffman,SJS,"5,000,000","4,500,000",2024
Nicklas Bäckström,WSH,"5,000,000","9,200,000",2024
Linus Ullmark,BOS,"5,000,000","5,000,000",2024
Sergei Bobrovsky,FLA,"5,000,000","10,000,000",2024
Cole Caufield,MTL,"4,975,000","7,850,000",2024
Nate Schmidt,WPG,"4,950,000","5,950,000",2024
Noah Hanifin,CGY,"4,950,000","4,950,000",2024
Kevin Fiala,LAK,"4,875,000","7,875,000",2024
Elias Lindholm,CGY,"4,850,000","4,850,000",2024
Mason Marchment,DAL,"4,800,000","4,500,000",2024
Jake Oettinger,DAL,"4,800,000","4,000,000",2024
Ville Husso,DET,"4,750,000","4,750,000",2024
Dmitry Orlov,CAR,"4,750,000","7,750,000",2024
Tyler Johnson,CHI,"4,750,000","5,000,000",2024
Victor Olofsson,BUF,"4,750,000","4,750,000",2024
Alex Tuch,BUF,"4,750,000","4,750,000",2024
Brandon Carlo,BOS,"4,700,000","4,100,000",2024
Lawson Crouse,ARI,"4,600,000","4,300,000",2024
Mikhail Sergachev,TBL,"4,550,000","8,500,000",2024
Rasmus Andersson,CGY,"4,550,000","4,550,000",2024
Adam Lowry,WPG,"4,500,000","3,250,000",2024
Jean-Gabriel Pageau,NYI,"4,500,000","5,000,000",2024
Cody Ceci,EDM,"4,500,000","3,250,000",2024
Nazem Kadri,CGY,"4,500,000","7,000,000",2024
Chris Tanev,CGY,"4,500,000","4,500,000",2024
Jesperi Kotkaniemi,CAR,"4,500,000","4,820,000",2024
Nick Leddy,STL,"4,500,000","4,000,000",2024
Dylan Strome,WSH,"4,500,000","5,000,000",2024
Charlie Coyle,BOS,"4,500,000","5,250,000",2024
Sam Reinhart,FLA,"4,500,000","6,500,000",2024
Carter Verhaeghe,FLA,"4,500,000","4,166,667",2024
Carter Hart,PHI,"4,479,000","3,979,000",2024
Jakob Chychrun,OTT,"4,400,000","4,600,000",2024
Alex Iafallo,WPG,"4,400,000","4,000,000",2024
Petr Mrázek,CHI,"4,400,000","3,800,000",2024
Ryan Suter,DAL,"4,300,000","3,650,000",2024
Alex Pietrangelo,VEG,"4,300,000","8,800,000",2024
Filip Gustavsson,MIN,"4,250,000","3,750,000",2024
Robby Fabbri,DET,"4,250,000","4,000,000",2024
MacKenzie Weegar,CGY,"4,250,000","6,250,000",2024
Andreas Athanasiou,CHI,"4,250,000","4,250,000",2024
Matt Grzelcyk,BOS,"4,250,000","3,687,500",2024
David Savard,MTL,"4,200,000","3,500,000",2024
Matt Roy,LAK,"4,200,000","3,150,000",2024
Anthony Beauvillier,VAN,"4,150,000","4,150,000",2024
Shayne Gostisbehere,DET,"4,125,000","4,125,000",2024
Marcus Foligno,MIN,"4,100,000","3,100,000",2024
Kirby Dach,MTL,"4,100,000","3,362,500",2024
Ross Colton,COL,"4,100,000","4,000,000",2024
Marcus Pettersson,PIT,"4,025,175","4,025,175",2024
Brett Pesce,CAR,"4,025,000","4,025,000",2024
Artem Zub,OTT,"4,000,000","4,600,000",2024
Joonas Korpisalo,OTT,"4,000,000","4,000,000",2024
Radek Faksa,DAL,"4,000,000","3,250,000",2024
Jack Roslovic,CBJ,"4,000,000","4,000,000",2024
Erik Gudbranson,CBJ,"4,000,000","4,000,000",2024
Radko Gudas,ANA,"4,000,000","4,000,000",2024
Ryan Lindgren,NYR,"4,000,000","3,000,000",2024
Nino Niederreiter,WPG,"4,000,000","4,000,000",2024
Noah Dobson,NYI,"4,000,000","4,000,000",2024
Ilya Sorokin,NYI,"4,000,000","4,000,000",2024
Sean Couturier,PHI,"4,000,000","7,750,000",2024
Ryan Johansen,COL,"4,000,000","4,000,000",2024
Anthony Duclair,SJS,"4,000,000","3,000,000",2024
T.J. Oshie,WSH,"4,000,000","5,750,000",2024
John Carlson,WSH,"4,000,000","8,000,000",2024
Darcy Kuemper,WSH,"4,000,000","5,250,000",2024
Jake DeBrusk,BOS,"4,000,000","4,000,000",2024
"Matheson, Michael",MTL,"4,000,000","4,875,000",2024
Jake Allen,MTL,"3,900,000","3,850,000",2024
Ivan Provorov,CBJ,"3,850,000","4,725,000",2024
Vítek Vaněček,NJD,"3,750,000","3,400,000",2024
Tyson Barrie,NSH,"3,750,000","4,500,000",2024
Boone Jenner,CBJ,"3,750,000","3,750,000",2024
Jordan Eberle,SEA,"3,750,000","5,500,000",2024
Phillip Danault,LAK,"3,750,000","5,500,000",2024
Nikita Zadorov,CGY,"3,750,000","3,750,000",2024
Ryan Graves,PIT,"3,750,000","4,500,000",2024
Alexandar Georgiev,COL,"3,700,000","3,400,000",2024
Frederik Andersen,CAR,"3,700,000","3,400,000",2024
