Player,Tm,Salary,Cap Hit,Year
Matthew Tkachuk,FLA,"1,000,000","9,500,000",2024
Kevin Stenlund,FLA,"1,000,000","1,000,000",2024
Mike Reilly,FLA,"1,000,000","1,000,000",2024
Dmitry Kulikov,FLA,"1,000,000","1,000,000",2024
"Montembeault, Samuel",MTL,"1,000,000","1,000,000",2024
"Blais, Samuel",STL,"1,000,000","1,000,000",2024
Justin Danforth,CBJ,"975,000","975,000",2024
Robert Bortuzzo,STL,"950,000","950,000",2024
Jordan Oesterle,CGY,"925,000","925,000",2024
Ukko-Pekka Luukkonen,BUF,"925,000","837,500",2024
Drew O'Connor,PIT,"925,000","925,000",2024
Josh Mahura,FLA,"925,000","925,000",2024
John Tavares,TOR,"910,000","11,000,000",2024
Kevin Bahl,NJD,"900,000","1,050,000",2024
Ty Dellandrea,DAL,"900,000","900,000",2024
Emil Bemström,CBJ,"900,000","900,000",2024
Urho Vaakanainen,ANA,"900,000","850,000",2024
Alex Lyon,DET,"900,000","900,000",2024
Rasmus Kupari,WPG,"900,000","1,000,000",2024
Ben Hutton,VEG,"900,000","850,000",2024
"Nieto, Matt",PIT,"900,000","900,000",2024
Jansen Harkins,PIT,"875,000","850,000",2024
Oliver Wahlstrom,NYI,"874,125","874,125",2024
Juraj Slafkovsky,MTL,"855,000","950,000",2024
Adam Fantilli,CBJ,"855,000","950,000",2024
David Jiříček,CBJ,"855,000","918,333",2024
Pavel Mintyukov,ANA,"855,000","918,333",2024
Logan Cooley,ARI,"855,000","950,000",2024
Connor Bedard,CHI,"855,000","950,000",2024
Cole Guttman,CHI,"855,000","950,000",2024
Kevin Korchinski,CHI,"855,000","918,333",2024
Zach Benson,BUF,"855,000","950,000",2024
Connor Dewar,MIN,"850,000","800,000",2024
Sam Steel,DAL,"850,000","850,000",2024
Sam Carrick,ANA,"850,000","850,000",2024
Sebastian Aho,NYI,"850,000","825,000",2024
Mackenzie Entwistle,CHI,"850,000","800,000",2024
Reese Johnson,CHI,"850,000","800,000",2024
Dakota Joshua,VAN,"850,000","825,000",2024
Pierre-Olivier Joseph,PIT,"850,000","825,000",2024
Ridly Greig,OTT,"832,500","863,333",2024
Jake Sanderson,OTT,"832,500","925,000",2024
Alexander Holtz,NJD,"832,500","894,167",2024
Dawson Mercer,NJD,"832,500","894,167",2024
Luke Hughes,NJD,"832,500","925,000",2024
Marco Rossi,MIN,"832,500","863,333",2024
Brock Faber,MIN,"832,500","925,000",2024
Justin Barron,MTL,"832,500","925,000",2024
Kaiden Guhle,MTL,"832,500","863,333",2024
Wyatt Johnston,DAL,"832,500","894,167",2024
Nils Lundkvist,DAL,"832,500","925,000",2024
Thomas Harley,DAL,"832,500","863,333",2024
Philip Tomasino,NSH,"832,500","863,333",2024
Kent Johnson,CBJ,"832,500","925,000",2024
Kirill Marchenko,CBJ,"832,500","925,000",2024
Cole Sillinger,CBJ,"832,500","925,000",2024
Mason McTavish,ANA,"832,500","894,167",2024
Jackson LaCombe,ANA,"832,500","925,000",2024
Matthew Beniers,SEA,"832,500","897,500",2024
Quinton Byfield,LAK,"832,500","894,167",2024
Arthur Kaliyev,LAK,"832,500","894,167",2024
Lucas Raymond,DET,"832,500","925,000",2024
Moritz Seider,DET,"832,500","863,333",2024
Braden Schneider,NYR,"832,500","925,000",2024
Cole Perfetti,WPG,"832,500","894,167",2024
Simon Holmström,NYI,"832,500","863,333",2024
Dylan Holloway,EDM,"832,500","925,000",2024
Philip Broberg,EDM,"832,500","863,333",2024
Bobby Brink,PHI,"832,500","925,000",2024
Tyson Foerster,PHI,"832,500","863,333",2024
Matthew Knies,TOR,"832,500","925,000",2024
Matthew Coronato,CGY,"832,500","925,000",2024
J.J. Moser,ARI,"832,500","886,667",2024
Jack Drury,CAR,"832,500","925,000",2024
Seth Jarvis,CAR,"832,500","894,167",2024
Thomas Bordeleau,SJS,"832,500","916,667",2024
William Eklund,SJS,"832,500","863,333",2024
Jake Neighbours,STL,"832,500","835,833",2024
Nikita Alexandrov,STL,"832,500","816,667",2024
Lukas Reichel,CHI,"832,500","925,000",2024
Wyatt Kaiser,CHI,"832,500","916,667",2024
Alex Vlasic,CHI,"832,500","916,667",2024
Peyton Krebs,BUF,"832,500","863,333",2024
Owen Power,BUF,"832,500","916,667",2024
Devon Levi,BUF,"832,500","925,000",2024
Connor McMichael,WSH,"832,500","863,333",2024
John Beecher,BOS,"832,500","925,000",2024
Anton Lundell,FLA,"832,500","925,000",2024
Calen Addison,MIN,"825,000","825,000",2024
Erik Gustafsson,NYR,"825,000","825,000",2024
Andrew Cogliano,COL,"825,000","825,000",2024
Jonathan Drouin,COL,"825,000","825,000",2024
Pavel Dorofeyev,VEG,"825,000","825,000",2024
Ryan Lomberg,FLA,"825,000","800,000",2024
"Veleno, Joseph",DET,"825,000","825,000",2024
Jonah Gadjovich,FLA,"810,000","810,000",2024
Mark Kastelic,OTT,"800,000","835,000",2024
Michael Pezzetta,MTL,"800,000","812,500",2024
Cayden Primeau,MTL,"800,000","890,000",2024
Craig Smith,DAL,"800,000","1,000,000",2024
Thomas Novak,NSH,"800,000","800,000",2024
Brett Leason,ANA,"800,000","775,000",2024
Blake Wheeler,NYR,"800,000","800,000",2024
Nick Bonino,NYR,"800,000","800,000",2024
Jimmy Vesey,NYR,"800,000","800,000",2024
Zachary Jones,NYR,"800,000","812,500",2024
Samuel Bolduc,NYI,"800,000","800,000",2024
Emil Andrae,PHI,"800,000","903,333",2024
Nick Seeler,PHI,"800,000","775,000",2024
Samuel Ersson,PHI,"800,000","859,167",2024
Felix Sandström,PHI,"800,000","775,000",2024
Michael Eyssimont,TBL,"800,000","800,000",2024
Luke Glendening,TBL,"800,000","800,000",2024
Mark Giordano,TOR,"800,000","800,000",2024
Liam O'Brien,ARI,"800,000","775,000",2024
Travis Dermott,ARI,"800,000","800,000",2024
Brendan Lemieux,CAR,"800,000","800,000",2024
Givani Smith,SJS,"800,000","800,000",2024
Tyler Tucker,STL,"800,000","800,000",2024
Mark Friedman,VAN,"800,000","775,000",2024
John-Jason Peterka,BUF,"800,000","855,833",2024
Chad Ruhwedel,PIT,"800,000","800,000",2024
Patrick Brown,BOS,"800,000","800,000",2024
"Maroon, Patrick",MIN,"800,000","800,000",2024
Alex Laferriere,LAK,"787,500","875,000",2024
Tyler Pitlick,NYR,"787,500","787,500",2024
Fraser Minten,TOR,"787,500","845,833",2024
Austin Watson,TBL,"776,665","776,665",2024
Rourke Chartier,OTT,"775,000","775,000",2024
Zack MacEwen,OTT,"775,000","775,000",2024
Parker Kelly,OTT,"775,000","762,500",2024
Chris Tierney,NJD,"775,000","775,000",2024
Akira Schmid,NJD,"775,000","850,833",2024
Dakota Mermis,MIN,"775,000","775,000",2024
Jesse Ylönen,MTL,"775,000","775,000",2024
Arber Xhekaj,MTL,"775,000","828,333",2024
Johnathan Kovacevic,MTL,"775,000","766,667",2024
Joel Hanley,DAL,"775,000","787,500",2024
Juuso Pärssinen,NSH,"775,000","850,833",2024
Luke Evangelista,NSH,"775,000","797,500",2024
Samuel Fagemo,NSH,"775,000","775,000",2024
Michael McCarron,NSH,"775,000","775,000",2024
Kiefer Sherwood,NSH,"775,000","775,000",2024
Cole Smith,NSH,"775,000","775,000",2024
Liam Foudy,CBJ,"775,000","762,500",2024
Spencer Martin,CBJ,"775,000","762,500",2024
Benoit-Olivier Groulx,ANA,"775,000","775,000",2024
Tristan Luneau,ANA,"775,000","896,667",2024
Lukáš Dostál,ANA,"775,000","812,500",2024
Tye Kartye,SEA,"775,000","859,167",2024
Pierre-Édouard Bellemare,SEA,"775,000","775,000",2024
Jaycob Megna,SEA,"775,000","762,500",2024
Jaret Anderson-Dolan,LAK,"775,000","775,000",2024
Trevor Lewis,LAK,"775,000","775,000",2024
Vladislav Gavrikov,LAK,"775,000","5,875,000",2024
Jordan Spence,LAK,"775,000","820,000",2024
Tobias Björnfot,LAK,"775,000","775,000",2024
Pheonix Copley,LAK,"775,000","1,500,000",2024
Cam Talbot,LAK,"775,000","1,000,000",2024
Austin Czarnik,DET,"775,000","762,500",2024
Jonathan Quick,NYR,"775,000","825,000",2024
David Gustafsson,WPG,"775,000","775,000",2024
Declan Chisholm,WPG,"775,000","775,000",2024
Julien Gauthier,NYI,"775,000","787,500",2024
Hudson Fasching,NYI,"775,000","775,000",2024
Derek Ryan,EDM,"775,000","900,000",2024
Connor Brown,EDM,"775,000","775,000",2024
Adam Erne,EDM,"775,000","775,000",2024
Vincent Desharnais,EDM,"775,000","762,500",2024
Yegor Zamula,PHI,"775,000","775,000",2024
Waltteri Merela,TBL,"775,000","870,000",2024
Alex Barré-Boulet,TBL,"775,000","758,333",2024
Calvin de Haan,TBL,"775,000","775,000",2024
Haydn Fleury,TBL,"775,000","762,500",2024
Darren Raddysh,TBL,"775,000","762,500",2024
Matt Tomkins,TBL,"775,000","775,000",2024
Jonas Johansson,TBL,"775,000","775,000",2024
Auston Matthews,TOR,"775,000","11,640,250",2024
Mitch Marner,TOR,"775,000","10,903,000",2024
Tyler Bertuzzi,TOR,"775,000","5,500,000",2024
Calle Järnkrok,TOR,"775,000","2,100,000",2024
Noah Gregor,TOR,"775,000","775,000",2024
Simon Benoit,TOR,"775,000","775,000",2024
Joseph Woll,TOR,"775,000","766,667",2024
Walker Duehr,CGY,"775,000","825,000",2024
Dryden Hunt,CGY,"775,000","775,000",2024
Adam Ružička,CGY,"775,000","762,500",2024
Dennis Gilbert,CGY,"775,000","762,500",2024
Michael Carcone,ARI,"775,000","775,000",2024
Nathan MacKinnon,COL,"775,000","12,600,000",2024
Fredrik Olofsson,COL,"775,000","775,000",2024
Jack Johnson,COL,"775,000","775,000",2024
Ivan Prosvetov,COL,"775,000","775,000",2024
Sebastian Aho,CAR,"775,000","8,460,250",2024
Stefan Noesen,CAR,"775,000","762,500",2024
Jalen Chatfield,CAR,"775,000","762,500",2024
Jacob Peterson,SJS,"775,000","775,000",2024
Ty Emberson,SJS,"775,000","775,000",2024
Oskar Sundqvist,STL,"775,000","775,000",2024
Scott Perunovich,STL,"775,000","775,000",2024
Joel Hofer,STL,"775,000","775,000",2024
Boris Katchouk,CHI,"775,000","758,333",2024
Taylor Raddysh,CHI,"775,000","758,333",2024
Arvid Söderblom,CHI,"775,000","962,500",2024
Phillip Di Giuseppe,VAN,"775,000","775,000",2024
Jack Studnicka,VAN,"775,000","762,500",2024
Noah Juulsen,VAN,"775,000","775,000",2024
Brett Howden,VEG,"775,000","1,900,000",2024
Paul Cotter,VEG,"775,000","775,000",2024
Michael Amadio,VEG,"775,000","762,500",2024
Nicolas Hague,VEG,"775,000","2,294,150",2024
Kaedan Korczak,VEG,"775,000","789,167",2024
Brayden Pachal,VEG,"775,000","775,000",2024
Logan Thompson,VEG,"775,000","766,667",2024
Aliaksei Protas,WSH,"775,000","789,167",2024
Matthew Phillips,WSH,"775,000","775,000",2024
Beck Malenstyn,WSH,"775,000","762,500",2024
Alexander Alexeyev,WSH,"775,000","825,000",2024
Lucas Johansen,WSH,"775,000","762,500",2024
John Ludvig,PIT,"775,000","775,000",2024
Ryan Shea,PIT,"775,000","775,000",2024
Matthew Poitras,BOS,"775,000","870,000",2024
Jakub Lauko,BOS,"775,000","787,500",2024
Ian Mitchell,BOS,"775,000","775,000",2024
Evan Rodrigues,FLA,"775,000","3,000,000",2024
Nick Cousins,FLA,"775,000","1,100,000",2024
Justin Sourdif,FLA,"775,000","847,500",2024
William Lockwood,FLA,"775,000","775,000",2024
Oliver Ekman-Larsson,FLA,"775,000","2,250,000",2024
Uvis Balinskis,FLA,"775,000","870,000",2024
"Cuylle, Will",NYR,"775,000","828,333",2024
"Greer, AJ",CGY,"775,000","762,500",2024
