YEAR,MONTH,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
2019,1,12.06204051,26.74103526,77.99024756,0.0,38.0
2019,2,15.06037898,27.98712009,77.54675772,56.17857143,18.0
