證券代碼,簡稱,TSE 產業別,年月,財報發布日,ROA(A)稅後息前,ROE(B)－常續利益,營業毛利率,營業利益率,稅後淨利率,股利殖利率,研究發展費用率,營業費用率,常續性EPS,資產總額,負債總額,股東權益總額
2324,仁寶,25,201906,2019/8/13,0.65,1.79,3.43,1.05,0.81,,1.41,2.38,1.36,421348688,309332219,112016469
2327,國巨,28,201906,2019/8/2,1.21,2.35,32.58,17.22,14.51,,2.1,15.36,54.2,122085991,77281785,44804206
2328,廣宇,28,201906,2019/8/12,1.73,2.48,9.58,5.24,5.23,,1.05,4.34,1.68,20767146,8597216,12169930
2329,華泰,24,201906,2019/8/14,1.53,3.59,12.42,6.29,4.97,,1.51,6.13,0.54,16526312,10725758,5800554
2330,台積電,24,201906,2019/8/14,3.05,4.03,43.02,31.66,27.71,,8.88,11.27,12.3,2239343671,684922144,1554421527
2331,精英,25,201906,2019/8/14,-0.51,-1.33,11.92,-3.82,-1.84,,2.94,8.68,-0.27,24491634,13468671,11022963
2332,友訊,27,201906,2019/8/13,-1.23,-2.36,26.34,-5.39,-5.43,,6.23,31.74,-0.48,17204656,7943797,9260859
2337,旺宏,24,201906,2019/8/12,0.48,0.86,26.78,6.32,3.53,,11.3,20.45,2.82,65480425,35701803,29778622
2338,光罩,24,201906,2019/8/7,2.44,0.86,27.26,10.36,15.53,,6.2,16.9,0.87,5074157,2429345,2644812
2340,台亞,24,201906,2019/7/31,1.44,1.93,31.42,14.7,10.26,,6.19,16.72,1.31,10732110,3171551,7560559
2342,茂矽,24,201906,2019/8/14,-1.65,-3.08,-8.58,-29,-22.72,,9.97,20.42,-0.26,3041257,830422,2210835
2344,華邦電,24,201906,2019/7/26,0.57,0.95,26.27,2.04,4.45,,17.12,24.23,1.21,103279760,43013068,60266692
2345,智邦,27,201906,2019/8/8,5.61,12.82,20.9,11.8,10.04,,3.46,9.1,6.83,26184852,15915709,10269143
2347,聯強,29,201906,2019/8/8,1.26,3.12,4.14,1.5,2.09,,0,2.64,3.68,139902385,88776559,51125826
2348,海悅,20,201906,2019/8/14,6.13,11.09,53.49,24.48,62.88,,0,29.01,5.25,2751463,1385782,1365681
2349,錸德,26,201906,2019/8/14,-0.51,-1.2,8.22,-11.24,-8.05,,2.13,19.46,-0.82,23583357,10178741,13404616
2351,順德,24,201906,2019/8/12,1.62,2.85,19.04,9.82,7.5,,2.7,9.23,4.05,11196726,5383471,5813255
2352,佳世達,25,201906,2019/8/12,1.18,2.92,14.05,4.13,3.03,,2.45,9.92,1.91,123614695,82424136,41190559
2353,宏碁,25,201906,2019/8/7,0.29,0.76,10.76,1.06,0.78,,1.19,9.74,0.78,161540228,102769424,58770804
2354,鴻準,31,201906,2019/8/13,1.28,1.64,11.53,4.04,8.21,,3.38,7.49,6,163801635,63505549,100296086
2355,敬鵬,28,201906,2019/8/13,0.57,0.77,8.1,1.84,2.62,,0.61,6.27,3.09,23047343,7485796,15561547
2356,英業達,25,201906,2019/8/13,0.77,2.01,4.08,0.99,0.96,,1.74,3.09,1.57,211853850,156278022,55575828
2357,華碩,25,201906,2019/8/13,0.75,1.45,15.64,2.48,2.52,,4.51,13.15,20.71,331240582,164453432,166787150
2358,廷鑫,20,201906,2019/8/14,-0.26,-1.3,6.1,-0.85,-4.37,,0.93,6.95,0.24,2809645,1597063,1212582
2359,所羅門,31,201906,2019/8/12,0.33,0.44,19.48,-2.66,2.46,,3.23,22.14,0.6,6316381,1421400,4894981
2360,致茂,31,201906,2019/8/12,2,3.24,49.28,14.91,14.57,,9.9,34.36,4.46,25409770,11492976,13916794
2362,藍天,25,201906,2019/8/13,0.46,-0.74,24.72,4.07,5.39,,2.88,20.65,-1.11,108981469,66600811,42380658
2363,矽統,24,201906,2019/8/8,-1.38,-1.39,41.88,-148.58,-150.89,,136.62,190.46,-0.33,6981919,72199,6909720
2364,倫飛,25,201906,2019/8/14,-2.25,-9.8,25.28,-18.43,-17.67,,15.67,43.72,-0.22,1162587,882800,279787
2365,昆盈,25,201906,2019/8/12,0.33,0.42,29.84,2.62,3.35,,0.36,27.22,0.22,4621365,1596031,3025334
2367,燿華,28,201906,2019/8/13,2.3,5.1,21.29,12,8.95,,0.22,9.29,2.04,23788462,13404729,10383733
2368,金像電,28,201906,2019/8/14,-0.15,-0.64,10.14,0.67,-1.92,,2.63,8.87,0.41,19959481,13197105,6762376
2369,菱生,24,201906,2019/8/7,-1.59,-2.39,-0.33,-11.58,-11.45,,3.97,11.25,-1.29,8350989,2839785,5511204
2371,大同,05,201906,2019/8/14,-8.03,-14.95,-4.78,-32.95,-137.24,,5.38,28.18,1.15,124322416,103450311,20872105
2373,震旦行,31,201906,2019/8/14,2.24,4.01,44.04,9.92,10.95,,0,34.46,5.89,18009080,9934632,8074448
2374,佳能,26,201906,2019/8/13,-0.09,-0.12,14.12,-0.83,-0.55,,7.76,14.95,-1.14,11181871,3748330,7433541
2375,凱美,28,201906,2019/8/2,-0.73,-0.44,24.18,9.36,-8.59,,2.23,14.82,2.35,13042196,5846129,7196067
2376,技嘉,25,201906,2019/8/13,1.24,1.84,17.87,2.17,3.78,,3.9,15.69,1.64,36532786,13465963,23066823
2377,微星,25,201906,2019/8/12,2.27,4.44,14.03,5.24,4.8,,3.03,8.78,5.64,55143250,26786784,28356466
2379,瑞昱,24,201906,2019/8/13,2.82,7.25,44.34,11.02,12.15,,25.26,33.32,11.36,70564133,45793391,24770742
2380,虹光,25,201906,2019/8/12,-3.3,-5.47,22.35,-19.98,-23.08,,24.55,42.33,-2,2991764,1460688,1531076
2382,廣達,25,201906,2019/8/13,0.88,3.28,4.77,1.52,1.66,,1.69,3.24,4.34,651693358,518045430,133647928
2383,台光電,28,201906,2019/7/31,2.97,5.48,24.54,15.97,11.13,,2.29,8.57,6.93,23730069,11784565,11945504
2385,群光,28,201906,2019/8/8,2.14,5.48,16.92,7.5,6.33,,3.03,9.41,5.8,68803422,39644868,29158554
2387,精元,25,201906,2019/8/12,1.05,0.84,10.47,1.94,4.12,,2.59,8.53,0.7,12914184,5582755,7331429
2388,威盛,24,201906,2019/8/14,0.36,0.8,31.96,-11.48,1.45,,22.39,43.44,0.24,9009399,5043562,3965837
2390,云辰,31,201906,2019/8/13,-1.63,-2.05,19.47,-36.65,-32.16,,9.45,56.11,-0.95,2718662,513466,2205196
2392,正崴,28,201906,2019/8/14,0.27,0.48,9.55,0.45,0.63,,2.76,9.1,3.15,76705426,48573690,28131736
2393,億光,26,201906,2019/8/14,0.88,1.06,22.76,3.1,4.45,,3.61,19.66,1.48,28645560,11537927,17107633
2395,研華,25,201906,2019/8/2,3.95,6.24,38.71,16.68,13.65,,7.59,22.03,9.53,49761537,20740035,29021502
2397,友通,25,201906,2019/8/2,3.43,5.39,30.69,14.23,11.3,,5.97,16.45,5.8,5887264,2347314,3539950
2399,映泰,25,201906,2019/8/14,-2.46,-2.75,-13.96,-39.32,-17.08,,7.07,25.36,-1.17,2896527,616899,2279628
2401,凌陽,24,201906,2019/8/13,0.63,0.74,41.76,4.74,4.68,,24.9,37.03,-0.23,12306134,2668128,9638006
2402,毅嘉,28,201906,2019/8/12,0.98,1.28,16.08,4.57,5.39,,4.68,11.52,0.83,9173788,3212828,5960960
2404,漢唐,31,201906,2019/8/14,3.43,9.88,19.91,14.95,13.05,,0.16,4.97,16.27,22325875,14908780,7417095
2405,輔信,25,201906,2019/8/8,-0.5,-0.48,17.47,-3.08,-2.61,,7.31,20.55,-0.44,4024319,738153,3286166
2406,國碩,26,201906,2019/8/14,-0.3,-8.16,12.35,1.26,-6.17,,3.04,11.09,1.51,17052986,11749708,5303278
2408,南亞科,24,201906,2019/8/12,1.49,1.66,34.95,22.55,22.09,,8.51,12.4,8.9,185349128,35777672,149571456
2409,友達,26,201906,2019/8/13,-0.5,-1.45,2.83,-4.88,-4.04,,3.56,7.71,-0.32,421792438,216774804,205017634
2412,中華電,27,201906,2019/8/14,1.81,2.29,35.6,20.56,17.48,,1.9,15.03,4.36,489464353,121218254,368246099
2413,環科,28,201906,2019/8/14,-1.26,-3.98,13.47,-5.39,-7.66,,7.09,18.86,-0.34,4648644,2970650,1677994
2414,精技,29,201906,2019/8/12,1.14,2.24,9.35,1.92,1.62,,0.78,7.43,1.63,6499264,3519165,2980099
2415,錩新,28,201906,2019/8/13,0.59,1.08,23.41,8.68,3.83,,2.4,13.88,0.71,5002941,2937259,2065682
2417,圓剛,25,201906,2019/8/13,0.82,0.95,52.07,2.83,5.06,,15.08,49.23,0.12,4796846,856588,3940258
2419,仲琦,27,201906,2019/8/12,1.43,2.97,19.76,5.97,3.84,,3.58,13.78,1.09,8325098,4592343,3732755
2420,新巨,28,201906,2019/8/14,2.08,3.65,36.71,17.8,17.07,,3.92,18.91,3.5,5584114,2689293,2894821
2421,建準,28,201906,2019/8/7,1.87,3.83,21.59,5.76,5.81,,6.54,15.83,2.15,8609775,4745395,3864380
2423,固緯,31,201906,2019/8/12,2.39,3.4,52.21,13.03,13.6,,8.44,39.18,2.25,3314431,1090455,2223976
2424,隴華,27,201906,2019/8/13,-4.96,-7.65,16.23,-209.09,-217.34,,19.39,225.32,-2.78,501071,186168,314903
2425,承啟,25,201906,2019/8/14,2.16,2.96,8.38,4.54,3.57,,0.37,3.83,1.35,2561077,736516,1824561
2426,鼎元,26,201906,2019/8/14,0.77,0.11,19.49,1.1,5.72,,4.72,15.05,0.29,5990180,2374591,3615589
2427,三商電,30,201906,2019/8/12,0.61,1.17,34.51,2.08,4.2,,5.07,32.43,0.62,4682541,2560387,2122154
2428,興勤,28,201906,2019/8/12,2.89,4.04,37.14,21.49,17.67,,3.62,15.65,8.44,8847555,2746626,6100929
2429,銘旺科,26,201906,2019/8/13,-0.49,-1.94,10.28,-1.6,-3.02,,2.52,11.88,-0.82,940971,597485,343486
2430,燦坤,29,201906,2019/8/13,0.27,0.38,15.28,1.26,0.35,,0,14.02,1.08,14035368,9495944,4539424
2431,聯昌,28,201906,2019/8/12,-0.32,-0.06,10.01,-1.89,-1.12,,2.47,11.9,-1.25,2416175,1127118,1289057
2433,互盛電,31,201906,2019/8/14,1.55,2.61,32.61,14.59,11.54,,0,18.02,4.12,8476050,3736413,4739637
2434,統懋,24,201906,2019/8/14,-6.24,-16.2,-71.98,-108.18,-110.65,,2.92,36.2,-2.71,812976,513661,299315
2436,偉詮電,24,201906,2019/8/6,1.21,2.27,25.74,5.82,7.67,,11.29,19.92,1.48,3839706,991796,2847910
2438,翔耀,26,201906,2019/8/14,0.56,0.64,24.44,5.8,4.92,,0.42,18.64,-0.09,977768,169206,808562
2439,美律,27,201906,2019/7/26,3.09,7.14,16.12,8.68,7.68,,3.28,7.44,15.13,26384244,15068936,11315308
2440,太空梭,28,201906,2019/8/13,-1.11,-3.3,4.76,-2.23,-5.51,,0.62,6.99,-0.58,2520342,1418062,1102280
2441,超豐,24,201906,2019/8/9,2.52,3.04,24.61,20.38,16.42,,1.62,4.23,3.42,19555514,4025026,15530488
2442,新美齊,14,201906,2019/8/14,0.48,-0.27,13.01,-2.47,2.77,,3.34,15.48,2.49,8707073,4542306,4164767
2443,昶虹,20,201906,2019/8/13,-3.15,-6.64,-11.37,-30.22,-23.9,,0.27,21.82,-2.69,1941947,1047916,894031
2444,兆勁,27,201906,2019/8/13,-1.43,-2.32,7.49,-6.57,-6.21,,1.24,14.06,-1.03,1610215,677839,932376
2449,京元電子,24,201906,2019/8/14,1.34,2.44,24.86,13.13,9.93,,4.17,11.73,1.6,51442590,27346116,24096474
2450,神腦,27,201906,2019/8/12,0.69,1.59,11.77,0.64,1.02,,0,11.12,1.33,10147284,4564780,5582504
2451,創見,24,201906,2019/8/8,1.92,2.24,21.91,11.63,13.59,,1.04,10.28,3.87,22694428,4042193,18652235
2453,凌群,30,201906,2019/8/13,0.74,1.14,18.61,0.94,1.64,,3.9,17.67,0.95,3965527,2205450,1760077
2454,聯發科,24,201906,2019/8/13,1.58,1.94,41.89,9.98,10.56,,25.03,31.91,12.44,452039316,163532165,288507151
2455,全新,27,201906,2019/7/26,3.45,5.29,41.42,26.11,23.21,,10.02,15.32,2.06,4268958,1717349,2551609
2457,飛宏,28,201906,2019/8/13,-0.08,0.16,13.5,-1.9,-0.42,,6.28,15.4,-0.32,9439518,4381431,5058087
2458,義隆,24,201906,2019/8/13,3.99,6.12,46.07,20.93,19.44,,17.2,25.13,5.59,10991594,5097729,5893865
2459,敦吉,31,201906,2019/8/12,1.32,1.79,14.53,6.34,5.54,,1.07,8.19,3.46,8316130,3706398,4609732
2460,建通,28,201906,2019/8/13,0.14,-0.08,9.76,-0.15,-0.29,,0.57,9.92,-0.47,5733605,3183561,2550044
2461,光群雷,31,201906,2019/8/14,0.32,0.43,24.63,5.31,1.11,,4.99,19.32,0.46,6605735,3251178,3354557
2462,良得電,28,201906,2019/8/13,0.63,1.17,10.4,2.57,2.07,,0.37,7.84,0.43,4845562,2313182,2532380
2464,盟立,31,201906,2019/8/8,1.96,6,19.21,8.68,7.36,,3.55,10.53,4.79,12234970,8286964,3948006
2465,麗臺,25,201906,2019/8/8,-2.7,-11.72,11.77,-2.18,-4.56,,4.13,13.95,-0.02,1321033,1055707,265326
2466,冠西電,26,201906,2019/8/14,1.16,2.16,14.83,5.95,4.69,,0.09,8.88,-0.14,4299250,2548642,1750608
2467,志聖,28,201906,2019/8/13,1.7,3.92,28.86,8.24,8.15,,4.45,20.63,3.38,6524096,3985093,2539003
2468,華經,30,201906,2019/8/13,0.7,1.01,10.82,2.26,2.51,,,8.56,0.59,1704100,590469,1113631
2471,資通,30,201906,2019/8/12,2.54,4.03,50.49,19.95,17.02,,13.94,30.54,1.63,1175613,467462,708151
2472,立隆電,28,201906,2019/8/12,1.51,2.56,23.11,10.92,8.23,,2.13,12.18,3.99,10892527,5340380,5552147
2474,可成,31,201906,2019/8/9,1.17,1.84,23.06,9.13,16.99,,4.97,13.93,23.28,249336104,101202778,148133326
2476,鉅祥,28,201906,2019/8/12,1.66,2.18,27.18,8.3,10.28,,3.34,18.91,1.91,7633927,2489520,5144407
2477,美隆電,31,201906,2019/8/12,1.87,2.34,21.74,8.46,10.4,,3.2,13.29,1.39,5941073,2514175,3426898
2478,大毅,28,201906,2019/8/6,0.96,1.33,22.44,11.15,6.8,,0.71,11.29,6.64,8071554,2365032,5706522
2480,敦陽科,30,201906,2019/8/2,2.22,3.94,25.41,10.12,8.82,,2.04,15.29,4.06,4853102,2284858,2568244
2481,強茂,24,201906,2019/8/13,0.85,2.05,21.21,6.88,4.96,,3.46,14.33,2.14,15885144,9069016,6816128
2482,連宇,31,201906,2019/8/12,1.72,2.2,41.01,6.1,7.34,,14.21,34.91,0.25,1187159,433030,754129
2483,百容,28,201906,2019/7/31,1.5,0.12,18.74,-1.79,11.94,,6.62,20.53,0.47,3690978,1281768,2409210
2484,希華,28,201906,2019/8/9,1.06,1.43,21.2,6.49,7.79,,4.01,14.71,1.3,4148906,1236414,2912492
2485,兆赫,27,201906,2019/8/12,0.8,1.07,8.35,1.91,3.37,,2.66,6.44,0.16,9054128,2233511,6820617
2486,一詮,26,201906,2019/8/12,0.31,0.07,11.9,-0.63,1.34,,1.52,12.53,-0.73,6297272,3055073,3242199
2488,漢平,31,201906,2019/8/12,2.67,3.56,23.06,11.54,13.17,,4.22,11.52,4.04,3283207,1288074,1995133
2489,瑞軒,26,201906,2019/8/8,0.73,0.69,15.81,1.88,3.16,,2.84,13.93,0.29,19508564,7116522,12392042
2491,吉祥全,26,201906,2019/8/14,-0.64,-2.49,19.85,-20.98,-26.91,,0.33,40.83,-0.25,2043274,1338167,705107
2492,華新科,28,201906,2019/8/12,2.57,4.17,37.04,28.63,20.1,,2.32,8.41,37.12,61335040,27074781,34260259
2493,揚博,28,201906,2019/8/13,2.11,3.54,25.17,13.75,11.62,,0.87,11.42,3.31,3597600,1325106,2272494
2495,普安,25,201906,2019/8/12,0.84,0.38,47.5,1.5,12.67,,25.84,46,0.38,5108214,926572,4181642
2496,卓越,20,201906,2019/8/13,0.8,1.42,43.33,5.02,5.17,,3.1,38.31,5.64,1538691,789100,749591
2497,怡利電,12,201906,2019/8/8,0.55,0.74,23.1,4.34,2.24,,9.19,18.77,-1.26,2944165,1446929,1497236
2498,宏達電,27,201906,2019/8/12,-3.53,-5.34,20.32,-88.54,-79.41,,51.68,108.85,-11.34,61353332,20494070,40859262
2501,國建,14,201906,2019/8/13,0.92,1.9,26.48,14.33,13.59,,0,12.14,0.83,51909815,28843460,23066355
2504,國產,14,201906,2019/8/13,0.42,0.59,8.37,3.43,2.6,,0.06,4.94,0.12,36757182,15863078,20894104
2505,國揚,14,201906,2019/8/13,0.5,0.91,23.54,10.03,9.88,,0,13.51,0.13,18428529,10299837,8128692
2506,太設,14,201906,2019/8/13,-0.17,-0.63,43.64,-9.74,-26.02,,0,53.33,0.52,16036493,7425658,8610835
2509,全坤建,14,201906,2019/8/12,0.72,1.06,44.41,23.75,15.44,,0,20.66,6.77,8180597,3556108,4624489
2511,太子,14,201906,2019/8/9,0.59,0.92,26.63,8.68,8.3,,0,17.95,0.76,55966980,32131451,23835529
2514,龍邦,20,201906,2019/8/14,4.44,-2.02,4.57,-1.36,37.03,,0,5.93,-0.05,20097974,10600449,9497525
2515,中工,14,201906,2019/8/14,0.21,0.23,10.68,4,1.76,,0.2,6.67,0.17,42220683,22113040,20107643
2516,新建,14,201906,2019/8/14,0.48,1.26,3.61,1.33,1.96,,,2.28,0.33,8716173,6231642,2484531
2520,冠德,14,201906,2019/8/13,0.56,0.88,23.76,10.67,6.61,,0,13.09,2.84,54574201,41329249,13244952
2524,京城,14,201906,2019/8/12,1.08,2.67,44.35,30.52,24.59,,0,13.83,2.79,34258718,21688788,12569930
2527,宏璟,14,201906,2019/8/14,0.64,1.43,30.41,15.23,10.09,,0,15.18,2.76,20303394,13386846,6916548
2528,皇普,14,201906,2019/8/13,-0.55,-2.25,4.37,-873.15,-1153.58,,0,877.52,-0.45,7444669,5012336,2432333
2530,華建,14,201906,2019/8/13,-0.18,-0.5,100,-710.12,-733.07,,0,810.12,0,5001028,1582975,3418053
2534,宏盛,14,201906,2019/8/14,1.19,1.72,35.61,25.56,20.32,,0,10.05,1.43,31145753,16396983,14748770
2535,達欣工,14,201906,2019/8/12,0.96,2.27,10.84,6.57,6.03,,,4.27,1.96,17420663,10637688,6782975
2536,宏普,14,201906,2019/8/12,0.5,0.61,23.32,14.65,12.82,,0,8.67,0.89,16855955,5421810,11434145
2537,聯上發,14,201906,2019/8/13,0.1,0.09,8.18,-1.08,1.31,,0,9.26,-0.13,8393575,4284671,4108904
2538,基泰,14,201906,2019/8/13,-0.05,-0.43,33.16,-3.24,-48.74,,0,36.4,0.04,20186763,12735368,7451395
2539,櫻花建,14,201906,2019/8/12,2.27,5.29,30.71,22.83,21.17,,0,7.89,1.43,14437307,8460063,5977244
2540,愛山林,14,201906,2019/8/13,0.59,0.95,25.35,14.15,5.94,,1.28,11.2,0.71,11864470,7639999,4224471
2542,興富發,14,201906,2019/8/13,0.27,0.64,28.28,13.64,3.69,,0,14.64,4.77,140932492,105288992,35643500
2543,皇昌,14,201906,2019/8/14,0.11,0.02,3.66,0.58,0.07,,0,3.08,-2.23,7053860,4946345,2107515
2545,皇翔,14,201906,2019/8/13,0.34,0.52,40.85,17.9,6.82,,0,22.94,-0.45,40349407,30286366,10063041
2546,根基,14,201906,2019/8/13,2.1,5.62,8.74,6.48,5.35,,0,2.26,4.73,7295554,4736944,2558610
2547,日勝生,14,201906,2019/8/13,0,-1.25,38.55,-2.45,-11.74,,0.21,41,2.44,54544761,42851223,11693538
2548,華固,14,201906,2019/8/12,1.15,3.14,28.29,20.5,17.22,,0,7.79,3.22,44119885,29847915,14271970
2596,綠意,14,201906,2019/8/14,-0.87,-1,100,-4884.46,-7891.89,,0,4984.46,-0.43,2738607,513318,2225289
2597,潤弘,14,201906,2019/8/12,1.32,2.45,11.94,5.79,4.68,,0.53,6.15,4.5,10202268,5340697,4861571
2601,益航,18,201906,2019/8/13,3.53,-0.35,67.75,14.78,63.1,,0,52.97,0.47,39294002,25526078,13767924
2603,長榮,15,201906,2019/8/13,0.24,-0.63,7.85,2.35,-0.95,,0,5.53,0.35,300869655,229480654,71389001
2605,新興,15,201906,2019/8/13,-0.62,-1.24,-13.03,-19.85,-26.58,,0,6.82,-0.28,24432667,7488635,16944032
2606,裕民,15,201906,2019/8/13,0.25,0.21,10.82,6.77,1.69,,,4.05,1.44,67418841,40332391,27086450
2607,榮運,15,201906,2019/8/14,0.87,1.12,16.79,13.32,12.86,,0,3.47,0.91,35151309,12355599,22795710
2608,嘉里大榮,15,201906,2019/8/14,1.53,3.17,19.14,13.26,10.58,,,5.88,2.45,21115081,11847313,9267768
2609,陽明,15,201906,2019/8/13,-0.17,-6.19,2.87,-0.91,-2.91,,0,3.99,-1.06,202278335,184168800,18109535
2610,華航,15,201906,2019/8/7,0.13,-0.52,10.02,1.33,-0.68,,,8.68,0.17,293121547,235346991,57774556
2611,志信,15,201906,2019/8/14,0.64,0.44,25.85,4.07,10.9,,,21.78,0.19,4813374,1971065,2842309
2612,中航,15,201906,2019/8/14,0.55,0.7,21.04,11.52,6.87,,0,9.52,2.62,20943137,10753361,10189776
2613,中櫃,15,201906,2019/8/14,0.36,0.48,11.95,7.29,1.97,,0,4.66,0.1,11743622,8777566,2966056
2614,東森,20,201906,2019/8/14,-0.27,-1.37,33.77,-5.91,-7.73,,,39.68,-1.2,10753146,4686842,6066304
2615,萬海,15,201906,2019/8/14,1,0.56,8.42,2.54,3.82,,,5.88,0.47,85253890,49680910,35572980
2616,山隆,23,201906,2019/8/13,0.84,1.54,8.24,1.63,1.46,,0,6.61,1.81,8887162,4810990,4076172
2617,台航,15,201906,2019/8/6,0.77,0.99,26.18,22.1,12.48,,,4.08,1.42,15378463,5151567,10226896
2618,長榮航,15,201906,2019/8/9,0.38,0,10.21,2.51,0.65,,,7.7,0.99,355715045,282500947,73214098
2630,亞航,15,201906,2019/8/8,0.39,0.87,10.66,2.7,1.5,,0.83,7.96,0.57,4358932,2793100,1565832
2633,台灣高鐵,15,201906,2019/8/13,0.75,2.8,46.45,43.85,16.42,,,2.59,1.49,432682768,365337648,67345120
2634,漢翔,15,201906,2019/8/12,1.1,3.13,12.18,7.28,6.27,,2.02,4.9,2.14,44352496,30632295,13720201
2636,台驊投控,15,201906,2019/8/7,1.4,2.86,18.32,2.76,2.7,,0,15.55,2.65,5809119,3287439,2521680
2637,慧洋-KY,15,201906,2019/8/12,1.49,3.39,24.69,23.46,28.01,,0,1.23,3.97,90356232,62251930,28104302
2640,大車隊,36,201906,2019/8/12,3.31,6.03,48.59,19.84,16.58,,0,28.75,4.79,2468825,1134883,1333942
2641,正德,15,201906,2019/8/5,0.88,1.14,26.37,19.73,9.17,,0,6.64,0.58,4349583,2722941,1626642
2642,宅配通,15,201906,2019/8/12,1.28,2.58,16.83,5.52,4.69,,0,11.31,1.19,3616740,1979732,1637008
2643,捷迅,15,201906,2019/8/13,1.71,3.05,11.09,3.94,2.76,,0,7.15,3.05,1290920,663462,627458
2701,萬企,16,201906,2019/8/8,1.23,1.45,56.11,48.09,121.2,,,8.02,0.91,9028634,1416428,7612206
2702,華園,16,201906,2019/8/12,0.32,-1.43,84.76,9.44,-4.72,,0,75.31,0.29,7878739,6555289,1323450
2704,國賓,16,201906,2019/8/12,0.55,0.37,39.41,5.62,9.63,,0,33.79,1.01,11911300,1442886,10468414
2705,六福,16,201906,2019/8/14,-2.7,-19.86,-49.49,-85.56,-95.66,,0,36.07,-0.12,12401312,10695847,1705465
2706,第一店,16,201906,2019/8/13,1.45,1.7,74.81,66.11,179.82,,,8.7,1.12,10856671,1665517,9191154
2707,晶華,16,201906,2019/8/12,3.88,5.55,33.98,19.15,29.13,,0,14.83,8.48,12261301,8445723,3815578
2712,遠雄來,16,201906,2019/8/12,-0.46,-0.61,23.26,-7.33,-7.25,,0,30.6,-0.07,1458452,278505,1179947
2718,晶悅,14,201906,2019/8/7,0,0.01,9.7,-2.15,0.13,,0,11.84,-0.03,1859658,935798,923860
2719,燦星旅,16,201906,2019/8/7,-1.64,-7.56,15.95,-2.22,-2.07,,0,18.12,-2.4,646053,499478,146575
2722,夏都,16,201906,2019/8/9,0.65,0.86,39.89,3.73,8.4,,0,36.91,0.3,2623882,800688,1823194
2723,美食-KY,16,201906,2019/8/12,1.11,2.41,60.04,6.54,3.63,,0.16,53.5,7.27,23744601,13540516,10204085
2724,富驛-KY,16,201906,2019/8/14,0.7,-165.54,18.78,-3.07,-3.16,,0,21.84,0.33,1461497,1444415,17082
2726,雅茗-KY,16,201906,2019/8/14,1.6,3.2,51.8,6.37,4.41,,0.67,45.43,3.47,1761290,1056020,705270
2727,王品,16,201906,2019/8/8,0.48,2.66,45.59,3.13,1.25,,0.11,42.46,6.23,13122834,8734776,4388058
2729,瓦城,16,201906,2019/8/14,1.86,4.35,53.16,9.39,7.17,,0,43.76,15.57,5029750,3140396,1889354
2731,雄獅,16,201906,2019/8/12,0.37,0.23,9.59,-0.05,0.36,,,9.64,1.35,9955850,7787147,2168703
2732,六角,16,201906,2019/8/14,3.29,6.5,47.41,12.82,9.32,,0.42,33.81,7.31,3802718,2043415,1759303
2734,易飛網,16,201906,2019/8/8,-1.66,-5.47,16.16,-7.39,-4.07,,0,23.54,-2.36,639718,318022,321696
2736,富野,16,201906,2019/8/12,-0.69,-1.88,41.69,-13.3,-16,,0,54.99,-0.52,2665652,1410635,1255017
2739,寒舍,16,201906,2019/8/13,0.3,-0.07,38.65,4.16,0.13,,0,34.36,1.11,15806951,14028125,1778826
2740,天蔥,16,201906,2019/8/13,-8,-22.28,30.62,-51.94,-50.6,,0.97,82.55,-4.85,236551,154877,81674
2743,山富,16,201906,2020/8/12,1.98,5.05,9.51,2.35,2.15,,0,7.16,1.79,1547676,1027748,519928
2745,五福,16,201906,2019/8/7,1,3.03,10.07,1.33,0.98,,0,8.74,0.82,1705163,1131576,573587
2748,雲品,16,201906,2020/8/10,0.83,2.35,28.7,8.48,5.35,,,20.22,3.52,4493603,3296877,1196726
2752,豆府,16,201906,2019/8/13,4.06,7.35,53.64,12.46,10.17,,0.21,41.18,6.51,891601,452951,438650
2753,八方雲集,16,201906,2019/8/14,8.53,15.87,41.34,14.27,10.18,,0.4,27.07,8.3,3314893,1802699,1512194
2754,亞洲藏壽司,16,201906,2020/8/6,2.52,5.91,43.38,10.13,7.08,,0.06,33.25,2.82,1665552,954053,711499
2755,揚秦,16,201906,2019/8/13,1.99,5.58,26.25,7.45,5.8,,0.11,18.8,3.44,1003369,677521,325848
2756,聯發國際,16,201906,2020/10/29,8.28,27.4,46.59,14.34,11.9,,0.41,32.25,10.41,750173,555256,194917
2801,彰銀,17,201906,2019/8/30,0.14,1.79,,,36.03,,,51.02,1.21,2124170452,1965899309,158271143
2809,京城銀,17,201906,2019/7/29,-0.37,-2.77,,,-58.82,,,23.27,1.14,276910283,239668588,37241695
2812,台中銀,17,201906,2019/8/14,0.16,2.21,,,36.43,,,49.33,1.13,681048993,631735765,49313228
2816,旺旺保,17,201906,2019/8/28,1.05,3.73,34.23,8.89,9.69,,,25.34,2.95,17873724,12742349,5131375
2820,華票,17,201906,2019/8/23,0.16,1.35,,,61.84,,,22.49,0.93,196870215,173707760,23162455
2832,台產,17,201906,2019/8/30,0.81,1.72,38.42,14.6,11.83,,,23.81,1.52,18679189,9965922,8713267
2834,臺企銀,17,201906,2019/8/29,0.07,1.42,,,20.93,,,53.29,1.06,1709266559,1621428374,87838185
2836,高雄銀,17,201906,2019/8/22,0.07,1.26,,,19.1,,,61.07,0.59,266389243,251310036,15079207
